"","Id","When","Airport","FlightType","Alberta","ModifiedDate"
"1",290258,"1/1/1996 12:00:00 AM","All Airports","All Flight Types",597977,"8/25/2020 8:08:53 AM"
"2",290259,"2/1/1996 12:00:00 AM","All Airports","All Flight Types",636109,"8/25/2020 8:08:53 AM"
"3",290260,"3/1/1996 12:00:00 AM","All Airports","All Flight Types",741577,"8/25/2020 8:08:53 AM"
"4",290261,"4/1/1996 12:00:00 AM","All Airports","All Flight Types",734075,"8/25/2020 8:08:53 AM"
"5",290262,"5/1/1996 12:00:00 AM","All Airports","All Flight Types",778735,"8/25/2020 8:08:53 AM"
"6",290263,"6/1/1996 12:00:00 AM","All Airports","All Flight Types",937134,"8/25/2020 8:08:53 AM"
"7",290264,"7/1/1996 12:00:00 AM","All Airports","All Flight Types",1041155,"8/25/2020 8:08:53 AM"
"8",290265,"8/1/1996 12:00:00 AM","All Airports","All Flight Types",1100591,"8/25/2020 8:08:53 AM"
"9",290266,"9/1/1996 12:00:00 AM","All Airports","All Flight Types",913612,"8/25/2020 8:08:53 AM"
"10",290267,"10/1/1996 12:00:00 AM","All Airports","All Flight Types",920973,"8/25/2020 8:08:53 AM"
"11",290268,"11/1/1996 12:00:00 AM","All Airports","All Flight Types",788418,"8/25/2020 8:08:53 AM"
"12",290269,"12/1/1996 12:00:00 AM","All Airports","All Flight Types",898659,"8/25/2020 8:08:53 AM"
"13",290270,"1/1/1997 12:00:00 AM","All Airports","All Flight Types",827345,"8/25/2020 8:08:53 AM"
"14",290271,"2/1/1997 12:00:00 AM","All Airports","All Flight Types",851556,"8/25/2020 8:08:53 AM"
"15",290272,"3/1/1997 12:00:00 AM","All Airports","All Flight Types",952349,"8/25/2020 8:08:53 AM"
"16",290273,"4/1/1997 12:00:00 AM","All Airports","All Flight Types",863842,"8/25/2020 8:08:53 AM"
"17",290274,"5/1/1997 12:00:00 AM","All Airports","All Flight Types",926271,"8/25/2020 8:08:53 AM"
"18",290275,"6/1/1997 12:00:00 AM","All Airports","All Flight Types",1016772,"8/25/2020 8:08:53 AM"
"19",290276,"7/1/1997 12:00:00 AM","All Airports","All Flight Types",1080213,"8/25/2020 8:08:53 AM"
"20",290277,"8/1/1997 12:00:00 AM","All Airports","All Flight Types",1120601,"8/25/2020 8:08:53 AM"
"21",290278,"9/1/1997 12:00:00 AM","All Airports","All Flight Types",988624,"8/25/2020 8:08:53 AM"
"22",290279,"10/1/1997 12:00:00 AM","All Airports","All Flight Types",949419,"8/25/2020 8:08:53 AM"
"23",290280,"11/1/1997 12:00:00 AM","All Airports","All Flight Types",805046,"8/25/2020 8:08:53 AM"
"24",290281,"12/1/1997 12:00:00 AM","All Airports","All Flight Types",885741,"8/25/2020 8:08:53 AM"
"25",290282,"1/1/1998 12:00:00 AM","All Airports","All Flight Types",833604,"8/25/2020 8:08:53 AM"
"26",290283,"2/1/1998 12:00:00 AM","All Airports","All Flight Types",839620,"8/25/2020 8:08:53 AM"
"27",290284,"3/1/1998 12:00:00 AM","All Airports","All Flight Types",920361,"8/25/2020 8:08:53 AM"
"28",290285,"4/1/1998 12:00:00 AM","All Airports","All Flight Types",909648,"8/25/2020 8:08:53 AM"
"29",290286,"5/1/1998 12:00:00 AM","All Airports","All Flight Types",938419,"8/25/2020 8:08:53 AM"
"30",290287,"6/1/1998 12:00:00 AM","All Airports","All Flight Types",1007296,"8/25/2020 8:08:53 AM"
"31",290288,"7/1/1998 12:00:00 AM","All Airports","All Flight Types",1116570,"8/25/2020 8:08:53 AM"
"32",290289,"8/1/1998 12:00:00 AM","All Airports","All Flight Types",1174290,"8/25/2020 8:08:53 AM"
"33",290290,"9/1/1998 12:00:00 AM","All Airports","All Flight Types",987087,"8/25/2020 8:08:53 AM"
"34",290291,"10/1/1998 12:00:00 AM","All Airports","All Flight Types",1060823,"8/25/2020 8:08:53 AM"
"35",290292,"11/1/1998 12:00:00 AM","All Airports","All Flight Types",883854,"8/25/2020 8:08:53 AM"
