"","Id","When","NAICS","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"1",29379,"1/1/2001 12:00:00 AM","Industrial aggregate excluding unclassified businesses",670.2,660.6,658.19,579.7,584.29,594.04,571.06,698.71,535.55,625,597.61,"7/30/2020 10:20:44 AM"
"2",29380,"2/1/2001 12:00:00 AM","Industrial aggregate excluding unclassified businesses",670.17,659.57,655.97,581.39,584.64,591.96,569.88,693.82,531.83,624.13,596.22,"7/30/2020 10:20:44 AM"
"3",29381,"3/1/2001 12:00:00 AM","Industrial aggregate excluding unclassified businesses",668.09,654.25,656.08,579.45,583.66,593.39,570.68,697.28,534.5,623.14,590.48,"7/30/2020 10:20:44 AM"
"4",29382,"4/1/2001 12:00:00 AM","Industrial aggregate excluding unclassified businesses",671.36,657.42,654.27,577.11,580.49,591.88,568.74,693.86,522.23,619.3,590.65,"7/30/2020 10:20:44 AM"
"5",29383,"5/1/2001 12:00:00 AM","Industrial aggregate excluding unclassified businesses",664.07,653.5,650.19,572.57,577.97,588.13,567.82,688.39,522.08,619.09,588.62,"7/30/2020 10:20:44 AM"
"6",29384,"6/1/2001 12:00:00 AM","Industrial aggregate excluding unclassified businesses",675.37,661.73,658.22,589.39,582.33,591.86,576.29,697.5,529.27,623.66,599.07,"7/30/2020 10:20:44 AM"
"7",29385,"7/1/2001 12:00:00 AM","Industrial aggregate excluding unclassified businesses",672.62,655.98,655.54,587.14,580.1,590.93,576.08,696.76,509.32,620.14,591.67,"7/30/2020 10:20:44 AM"
"8",29386,"8/1/2001 12:00:00 AM","Industrial aggregate excluding unclassified businesses",673.25,653.93,655.69,593.39,602.47,593.54,579.58,691.2,534.38,625.14,599.62,"7/30/2020 10:20:44 AM"
"9",29387,"9/1/2001 12:00:00 AM","Industrial aggregate excluding unclassified businesses",691.89,659.53,660.64,588.41,594.09,600.97,576.88,699.54,531.65,622.27,602.19,"7/30/2020 10:20:44 AM"
"10",29388,"10/1/2001 12:00:00 AM","Industrial aggregate excluding unclassified businesses",692.9,664.57,661.23,588.02,595.43,596.53,583.04,697.17,534.92,623.91,604.9,"7/30/2020 10:20:44 AM"
"11",29389,"11/1/2001 12:00:00 AM","Industrial aggregate excluding unclassified businesses",675.47,655.05,659.75,587.29,597.68,585.31,583.09,701.16,535.46,625.98,591.72,"7/30/2020 10:20:44 AM"
"12",29390,"12/1/2001 12:00:00 AM","Industrial aggregate excluding unclassified businesses",673.61,658.81,661.5,593.64,601.87,594.03,594.14,697.74,559.63,631.26,606.78,"7/30/2020 10:20:44 AM"
"13",29391,"1/1/2002 12:00:00 AM","Industrial aggregate excluding unclassified businesses",682.66,655.47,664.31,590.14,598.85,599.17,592,698.89,562.44,639.13,605.21,"7/30/2020 10:20:44 AM"
"14",29392,"2/1/2002 12:00:00 AM","Industrial aggregate excluding unclassified businesses",687.96,665.24,662.79,595,595.63,590.41,586.77,699.36,550.8,625.68,600.9,"7/30/2020 10:20:44 AM"
"15",29393,"3/1/2002 12:00:00 AM","Industrial aggregate excluding unclassified businesses",692.41,676.96,667.07,596.94,600.94,600.11,590.2,703.93,565.18,625.19,606.11,"7/30/2020 10:20:44 AM"
"16",29394,"4/1/2002 12:00:00 AM","Industrial aggregate excluding unclassified businesses",695.71,679.55,674.72,601.17,603.62,604.82,595.42,712.07,558.45,638.92,613.09,"7/30/2020 10:20:44 AM"
"17",29395,"5/1/2002 12:00:00 AM","Industrial aggregate excluding unclassified businesses",680.48,666.65,669.9,598.2,602.7,611.03,598.48,706.6,560.1,643.86,599.2,"7/30/2020 10:20:44 AM"
"18",29396,"6/1/2002 12:00:00 AM","Industrial aggregate excluding unclassified businesses",693.05,667.15,671.89,602.77,603.58,607.09,601.49,711.54,562.46,637.31,605.13,"7/30/2020 10:20:44 AM"
"19",29397,"7/1/2002 12:00:00 AM","Industrial aggregate excluding unclassified businesses",694.42,671.09,675.63,608.27,604.15,607.57,604.5,716.33,540.52,640.49,611.71,"7/30/2020 10:20:44 AM"
"20",29398,"8/1/2002 12:00:00 AM","Industrial aggregate excluding unclassified businesses",683.92,661.43,668.49,604.01,597.75,604.02,593.04,707.79,540.68,638.18,603.54,"7/30/2020 10:20:44 AM"
"21",29399,"9/1/2002 12:00:00 AM","Industrial aggregate excluding unclassified businesses",696.43,676.76,674.95,604.8,602.06,612.72,591.73,716.05,549.39,635.2,615.9,"7/30/2020 10:20:44 AM"
"22",29400,"10/1/2002 12:00:00 AM","Industrial aggregate excluding unclassified businesses",694.16,666.84,679.5,605.02,613.36,618.28,598.88,719.08,557.26,653.45,612.25,"7/30/2020 10:20:44 AM"
"23",29401,"11/1/2002 12:00:00 AM","Industrial aggregate excluding unclassified businesses",702.52,682.92,680.31,620.69,609.24,622.07,598.41,720.12,564.84,638.68,621.36,"7/30/2020 10:20:44 AM"
"24",29402,"12/1/2002 12:00:00 AM","Industrial aggregate excluding unclassified businesses",704.21,687.74,686.38,624.95,610.9,629.78,610.07,722.28,578.37,652.3,629.87,"7/30/2020 10:20:44 AM"
"25",29403,"1/1/2003 12:00:00 AM","Industrial aggregate excluding unclassified businesses",702.83,680.16,681.62,617.85,611.91,624.97,607.11,716.63,575.47,648.05,623.52,"7/30/2020 10:20:44 AM"
"26",29404,"2/1/2003 12:00:00 AM","Industrial aggregate excluding unclassified businesses",720.6,690.72,690.69,619.34,613.68,636.77,607.3,728.2,575.5,651.49,633.65,"7/30/2020 10:20:44 AM"
"27",29405,"3/1/2003 12:00:00 AM","Industrial aggregate excluding unclassified businesses",708.24,679.46,683.07,614.06,610.29,629.32,605.42,721.43,563.81,645.36,624.97,"7/30/2020 10:20:44 AM"
"28",29406,"4/1/2003 12:00:00 AM","Industrial aggregate excluding unclassified businesses",715.49,686.06,687.13,614.45,613.67,636.17,611.02,723.15,564.83,650.62,632.68,"7/30/2020 10:20:44 AM"
"29",29407,"5/1/2003 12:00:00 AM","Industrial aggregate excluding unclassified businesses",697.06,675.91,683.76,609.89,611.28,641.9,613.42,721.54,569.29,655.39,622.84,"7/30/2020 10:20:44 AM"
"30",29408,"6/1/2003 12:00:00 AM","Industrial aggregate excluding unclassified businesses",716.75,690.25,692.73,619.97,616.88,648.51,614.8,730.98,571.16,657.19,641.37,"7/30/2020 10:20:44 AM"
"31",29409,"7/1/2003 12:00:00 AM","Industrial aggregate excluding unclassified businesses",711.39,672.75,689.14,613.15,619.4,652.1,610.24,725.98,550.41,665.34,626.53,"7/30/2020 10:20:44 AM"
"32",29410,"8/1/2003 12:00:00 AM","Industrial aggregate excluding unclassified businesses",720.43,687.54,690.43,622.91,619.46,650.08,611.36,730.04,558.15,648.48,638.7,"7/30/2020 10:20:44 AM"
"33",29411,"9/1/2003 12:00:00 AM","Industrial aggregate excluding unclassified businesses",733.39,694.53,698.35,626.79,626.21,642.95,609.97,736.66,575.31,658.91,648.92,"7/30/2020 10:20:44 AM"
"34",29412,"10/1/2003 12:00:00 AM","Industrial aggregate excluding unclassified businesses",716.52,687.61,696.77,624.67,625.33,629.41,609.52,735.84,573.03,667.7,637.47,"7/30/2020 10:20:44 AM"
"35",29413,"11/1/2003 12:00:00 AM","Industrial aggregate excluding unclassified businesses",731.4,698.21,700.03,624.81,630.12,643.68,610.54,736.48,580.4,664.41,644.62,"7/30/2020 10:20:44 AM"
"36",29414,"12/1/2003 12:00:00 AM","Industrial aggregate excluding unclassified businesses",722.4,687.29,699.61,631.87,623.09,639.7,618.8,736.94,584.82,669.83,647.56,"7/30/2020 10:20:44 AM"
"37",29415,"1/1/2004 12:00:00 AM","Industrial aggregate excluding unclassified businesses",729.88,692.68,702.88,634.07,630.55,646.13,614.88,745.67,589.85,661.97,643.49,"7/30/2020 10:20:44 AM"
"38",29416,"2/1/2004 12:00:00 AM","Industrial aggregate excluding unclassified businesses",740.06,700.09,706.05,633.59,625.79,654.01,610.82,747.7,575.97,663.42,645.17,"7/30/2020 10:20:44 AM"
"39",29417,"3/1/2004 12:00:00 AM","Industrial aggregate excluding unclassified businesses",746.21,697.3,705.89,630.17,621.91,656.37,617.88,745.43,580.09,664.24,648.8,"7/30/2020 10:20:44 AM"
"40",29418,"4/1/2004 12:00:00 AM","Industrial aggregate excluding unclassified businesses",725.9,689.88,705.01,628.83,620.12,642.1,619.83,748.37,585.81,671.79,636.99,"7/30/2020 10:20:44 AM"
"41",29419,"5/1/2004 12:00:00 AM","Industrial aggregate excluding unclassified businesses",735.43,694.1,709.35,633.69,628.44,671.64,630.81,751.13,605.82,672.53,657.25,"7/30/2020 10:20:44 AM"
"42",29420,"6/1/2004 12:00:00 AM","Industrial aggregate excluding unclassified businesses",731.06,689.8,707.38,633.4,624.87,658.02,627.45,748.35,588.46,676.6,650.5,"7/30/2020 10:20:44 AM"
"43",29421,"7/1/2004 12:00:00 AM","Industrial aggregate excluding unclassified businesses",730.97,692.8,706.28,632.11,622.5,660.94,627.26,747.81,570.05,671.77,654.43,"7/30/2020 10:20:44 AM"
"44",29422,"8/1/2004 12:00:00 AM","Industrial aggregate excluding unclassified businesses",746.35,699.4,707.64,636.68,620.67,651.47,627.14,745.46,562.96,669.41,658.82,"7/30/2020 10:20:44 AM"
"45",29423,"9/1/2004 12:00:00 AM","Industrial aggregate excluding unclassified businesses",743.42,691.77,711.82,635.63,627.85,649.74,627.1,744.7,577.21,693.73,653.48,"7/30/2020 10:20:44 AM"
"46",29424,"10/1/2004 12:00:00 AM","Industrial aggregate excluding unclassified businesses",746.44,706.02,711.7,652.04,630.76,659.97,630.14,750.34,584.01,669.3,664.03,"7/30/2020 10:20:44 AM"
"47",29425,"11/1/2004 12:00:00 AM","Industrial aggregate excluding unclassified businesses",760.92,709.48,716.38,649.16,632.91,656.21,627.07,753.32,592.52,674.24,671.47,"7/30/2020 10:20:44 AM"
"48",29426,"12/1/2004 12:00:00 AM","Industrial aggregate excluding unclassified businesses",746.74,705.73,720.62,648.4,642.28,659.29,643.86,759.1,606.49,688.58,668.46,"7/30/2020 10:20:44 AM"
"49",29427,"1/1/2005 12:00:00 AM","Industrial aggregate excluding unclassified businesses",764.2,715.78,725.99,659.17,651.09,672.42,647.81,764.82,603.22,681.41,683.24,"7/30/2020 10:20:44 AM"
"50",29428,"2/1/2005 12:00:00 AM","Industrial aggregate excluding unclassified businesses",785.27,726.02,736.72,659.81,652.88,677.05,654.31,776.41,608.28,691.07,682.49,"7/30/2020 10:20:44 AM"
"51",29429,"3/1/2005 12:00:00 AM","Industrial aggregate excluding unclassified businesses",753.08,700.86,725.58,658.24,648.88,664.53,646.93,763.87,600.69,699.2,662.71,"7/30/2020 10:20:44 AM"
"52",29430,"4/1/2005 12:00:00 AM","Industrial aggregate excluding unclassified businesses",767.92,723.08,730.24,658.66,649.12,676.21,646.42,773.31,602.78,682.37,671.44,"7/30/2020 10:20:44 AM"
"53",29431,"5/1/2005 12:00:00 AM","Industrial aggregate excluding unclassified businesses",777.39,724.46,732.73,661.05,647.34,681.48,654.73,772.88,599.23,686.03,680.83,"7/30/2020 10:20:44 AM"
"54",29432,"6/1/2005 12:00:00 AM","Industrial aggregate excluding unclassified businesses",769.15,717.6,737.11,669.67,650.07,681.84,658.01,780.23,595.66,700.51,675.08,"7/30/2020 10:20:44 AM"
"55",29433,"7/1/2005 12:00:00 AM","Industrial aggregate excluding unclassified businesses",773.45,717.68,732.86,666.26,649.34,687.86,654.92,771.66,593.63,694.5,677.11,"7/30/2020 10:20:44 AM"
"56",29434,"8/1/2005 12:00:00 AM","Industrial aggregate excluding unclassified businesses",788.1,721.72,737.38,669.25,649.14,684.15,658.19,775.26,588.6,696.03,686.72,"7/30/2020 10:20:44 AM"
"57",29435,"9/1/2005 12:00:00 AM","Industrial aggregate excluding unclassified businesses",796.83,733.03,750.31,677.74,661.81,687.48,667.76,789.63,602.19,712.88,687.01,"7/30/2020 10:20:44 AM"
"58",29436,"10/1/2005 12:00:00 AM","Industrial aggregate excluding unclassified businesses",805.94,726.85,745.09,673.83,663.53,694.49,665.02,784.17,605.01,697.59,695.21,"7/30/2020 10:20:44 AM"
"59",29437,"11/1/2005 12:00:00 AM","Industrial aggregate excluding unclassified businesses",812.83,734.35,744.2,670.7,662.61,689.04,664.06,780.34,610.57,693.16,693.11,"7/30/2020 10:20:44 AM"
"60",29438,"12/1/2005 12:00:00 AM","Industrial aggregate excluding unclassified businesses",795.1,730.74,745,672.55,662.67,689.01,665.27,782.19,624.88,703.64,689.44,"7/30/2020 10:20:44 AM"
"61",29439,"1/1/2006 12:00:00 AM","Industrial aggregate excluding unclassified businesses",808.57,737.13,746.04,676.11,666.94,696.36,670.71,784.75,623.79,688.64,704.97,"7/30/2020 10:20:44 AM"
"62",29440,"2/1/2006 12:00:00 AM","Industrial aggregate excluding unclassified businesses",819.96,745.53,750.96,676.95,666.42,696.93,668.27,787.97,614.73,695.13,698.64,"7/30/2020 10:20:44 AM"
"63",29441,"3/1/2006 12:00:00 AM","Industrial aggregate excluding unclassified businesses",809.89,732.93,750.64,678.51,665.48,697.15,669.38,785.7,619.08,709.48,696.03,"7/30/2020 10:20:44 AM"
"64",29442,"4/1/2006 12:00:00 AM","Industrial aggregate excluding unclassified businesses",820.3,744.03,750.63,676.21,667.5,706.22,667.45,783.64,621.06,700.1,707.23,"7/30/2020 10:20:44 AM"
"65",29443,"5/1/2006 12:00:00 AM","Industrial aggregate excluding unclassified businesses",823.99,748.45,750.41,672.22,665.58,706.87,662.4,782.28,627.36,699.27,704.11,"7/30/2020 10:20:44 AM"
"66",29444,"6/1/2006 12:00:00 AM","Industrial aggregate excluding unclassified businesses",808.28,741.94,753.8,692.18,670.93,702.85,678.43,784.91,626.96,715.77,708.63,"7/30/2020 10:20:44 AM"
"67",29445,"7/1/2006 12:00:00 AM","Industrial aggregate excluding unclassified businesses",816.75,739.12,751.05,681.51,665.97,703.24,675.19,782.7,607.63,707.52,708.72,"7/30/2020 10:20:44 AM"
"68",29446,"8/1/2006 12:00:00 AM","Industrial aggregate excluding unclassified businesses",816.46,733.47,754.29,679.07,665.68,701.87,676.86,784.14,606.7,723.04,702.7,"7/30/2020 10:20:44 AM"
"69",29447,"9/1/2006 12:00:00 AM","Industrial aggregate excluding unclassified businesses",826.54,747.94,757.22,696.07,679.18,713.49,675.67,793.72,624.85,700.53,711.59,"7/30/2020 10:20:44 AM"
"70",29448,"10/1/2006 12:00:00 AM","Industrial aggregate excluding unclassified businesses",841.89,751.11,761.72,693.42,680.02,713.88,671.58,796.47,622.32,705.29,718.86,"7/30/2020 10:20:44 AM"
"71",29449,"11/1/2006 12:00:00 AM","Industrial aggregate excluding unclassified businesses",821.64,736.29,760.49,690.85,686.55,706.35,677.19,791.97,629.58,726.74,707.29,"7/30/2020 10:20:44 AM"
"72",29450,"12/1/2006 12:00:00 AM","Industrial aggregate excluding unclassified businesses",844.61,766.36,773.46,717.98,697.28,726.7,686.52,806.61,646.62,717.84,727.86,"7/30/2020 10:20:44 AM"
"73",29451,"1/1/2007 12:00:00 AM","Industrial aggregate excluding unclassified businesses",854.18,762.39,773.73,709.09,695.69,729.24,681.61,807.8,641.73,714.57,734.42,"7/30/2020 10:20:44 AM"
"74",29452,"2/1/2007 12:00:00 AM","Industrial aggregate excluding unclassified businesses",853.03,758.57,776.6,715.65,699.62,721.51,685.64,809.98,645.05,724.77,734.12,"7/30/2020 10:20:44 AM"
"75",29453,"3/1/2007 12:00:00 AM","Industrial aggregate excluding unclassified businesses",849.94,759.11,784.1,725.35,708.07,731.56,702.76,816.48,661.24,741.78,740.55,"7/30/2020 10:20:44 AM"
"76",29454,"4/1/2007 12:00:00 AM","Industrial aggregate excluding unclassified businesses",856.96,766.03,781.58,719.78,703.21,738.95,689.41,815.39,647.41,728.53,734.91,"7/30/2020 10:20:44 AM"
"77",29455,"5/1/2007 12:00:00 AM","Industrial aggregate excluding unclassified businesses",849.03,757.68,784.85,712.19,708.61,728.32,701.02,815.14,644.35,752.97,736.73,"7/30/2020 10:20:44 AM"
"78",29456,"6/1/2007 12:00:00 AM","Industrial aggregate excluding unclassified businesses",874.07,781.39,792.84,735.65,708.76,740.62,705.82,827.74,644.02,733.66,756.06,"7/30/2020 10:20:44 AM"
"79",29457,"7/1/2007 12:00:00 AM","Industrial aggregate excluding unclassified businesses",877.94,770.58,788.22,724.3,698.64,737.78,693.64,819.14,624.72,737.78,747.64,"7/30/2020 10:20:44 AM"
"80",29458,"8/1/2007 12:00:00 AM","Industrial aggregate excluding unclassified businesses",862.48,761.83,784.16,724.23,700.48,727.67,697.4,814.55,627.15,741.42,740.44,"7/30/2020 10:20:44 AM"
