"","Id","When","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate","Type"
"1",27249,"12/1/2010 12:00:00 AM",44,13,359,4,2,3,15,118,0,152,8,"8/5/2020 8:48:21 AM","Corporate"
"2",27250,"12/1/2010 12:00:00 AM",519,754,6699,161,231,163,299,2462,46,1944,107,"8/5/2020 8:48:21 AM","Personal"
"3",27251,"1/1/2011 12:00:00 AM",578,650,5864,114,161,144,272,1757,48,2016,117,"8/5/2020 8:48:21 AM","Personal"
"4",27252,"1/1/2011 12:00:00 AM",30,22,284,4,1,1,9,91,0,116,10,"8/5/2020 8:48:21 AM","Corporate"
"5",27253,"2/1/2011 12:00:00 AM",22,8,287,3,3,3,11,89,1,139,8,"8/5/2020 8:48:21 AM","Corporate"
"6",27254,"2/1/2011 12:00:00 AM",636,741,6487,128,221,144,310,1932,39,2245,88,"8/5/2020 8:48:21 AM","Personal"
"7",27255,"3/1/2011 12:00:00 AM",680,813,7675,164,255,241,396,2539,75,2386,139,"8/5/2020 8:48:21 AM","Personal"
"8",27256,"3/1/2011 12:00:00 AM",26,15,399,7,3,6,16,159,2,155,10,"8/5/2020 8:48:21 AM","Corporate"
"9",27257,"4/1/2011 12:00:00 AM",17,18,318,5,5,4,6,103,1,151,8,"8/5/2020 8:48:21 AM","Corporate"
"10",27258,"4/1/2011 12:00:00 AM",640,718,7087,111,284,220,344,2343,50,2285,123,"8/5/2020 8:48:21 AM","Personal"
"11",27259,"5/1/2011 12:00:00 AM",617,681,6797,136,229,196,275,2236,38,2275,112,"8/5/2020 8:48:21 AM","Personal"
"12",27260,"5/1/2011 12:00:00 AM",22,14,427,0,9,0,11,100,0,150,9,"8/5/2020 8:48:21 AM","Corporate"
"13",27265,"8/1/2011 12:00:00 AM",26,14,297,4,3,1,5,113,1,116,14,"8/5/2020 8:48:21 AM","Corporate"
"14",27266,"8/1/2011 12:00:00 AM",595,705,6472,136,216,169,290,2035,50,2166,105,"8/5/2020 8:48:21 AM","Personal"
"15",27267,"9/1/2011 12:00:00 AM",525,645,6510,116,244,153,309,2176,34,2198,105,"8/5/2020 8:48:21 AM","Personal"
"16",27268,"9/1/2011 12:00:00 AM",23,18,300,6,10,3,5,99,2,123,11,"8/5/2020 8:48:21 AM","Corporate"
"17",27269,"10/1/2011 12:00:00 AM",30,20,301,9,1,2,7,84,4,138,6,"8/5/2020 8:48:21 AM","Corporate"
"18",27270,"10/1/2011 12:00:00 AM",515,584,6259,129,265,171,271,2045,40,2140,97,"8/5/2020 8:48:21 AM","Personal"
"19",27271,"11/1/2011 12:00:00 AM",577,641,6629,112,222,156,262,2277,35,2261,83,"8/5/2020 8:48:21 AM","Personal"
"20",27272,"11/1/2011 12:00:00 AM",19,8,308,8,4,0,3,102,2,153,9,"8/5/2020 8:48:21 AM","Corporate"
"21",27273,"12/1/2011 12:00:00 AM",18,20,291,7,0,0,8,120,0,115,3,"8/5/2020 8:48:21 AM","Corporate"
"22",27279,"3/1/2012 12:00:00 AM",568,680,6551,108,286,152,306,2078,35,2229,103,"8/5/2020 8:48:21 AM","Personal"
"23",27280,"3/1/2012 12:00:00 AM",19,19,304,4,2,4,6,119,3,119,9,"8/5/2020 8:48:21 AM","Corporate"
"24",27281,"4/1/2012 12:00:00 AM",20,21,276,0,4,1,5,85,0,130,10,"8/5/2020 8:48:21 AM","Corporate"
"25",27282,"4/1/2012 12:00:00 AM",523,731,6398,119,236,147,318,2079,38,2122,81,"8/5/2020 8:48:21 AM","Personal"
"26",27283,"5/1/2012 12:00:00 AM",515,695,6709,112,296,157,325,2186,38,2295,89,"8/5/2020 8:48:21 AM","Personal"
"27",27284,"5/1/2012 12:00:00 AM",28,16,284,4,6,0,8,78,0,135,8,"8/5/2020 8:48:21 AM","Corporate"
"28",27285,"6/1/2012 12:00:00 AM",22,8,263,1,3,0,9,84,2,128,6,"8/5/2020 8:48:21 AM","Corporate"
"29",27286,"6/1/2012 12:00:00 AM",484,644,5980,106,268,146,275,2010,38,1911,94,"8/5/2020 8:48:21 AM","Personal"
"30",27287,"7/1/2012 12:00:00 AM",489,624,5625,99,209,125,259,1878,44,1807,87,"8/5/2020 8:48:21 AM","Personal"
"31",27288,"7/1/2012 12:00:00 AM",16,21,247,4,4,1,7,77,1,113,2,"8/5/2020 8:48:21 AM","Corporate"
"32",27289,"8/1/2012 12:00:00 AM",10,17,244,2,3,1,4,84,1,112,10,"8/5/2020 8:48:21 AM","Corporate"
"33",27290,"8/1/2012 12:00:00 AM",454,610,5893,101,263,154,251,1888,36,2044,90,"8/5/2020 8:48:21 AM","Personal"
"34",27291,"9/1/2012 12:00:00 AM",421,577,5538,122,237,111,237,1840,31,1875,85,"8/5/2020 8:48:21 AM","Personal"
"35",27292,"9/1/2012 12:00:00 AM",21,11,263,2,2,2,5,79,1,136,4,"8/5/2020 8:48:21 AM","Corporate"
"36",27293,"10/1/2012 12:00:00 AM",18,8,241,4,8,2,12,85,0,99,5,"8/5/2020 8:48:21 AM","Corporate"
"37",27294,"10/1/2012 12:00:00 AM",489,641,6455,99,215,170,280,2075,57,2347,72,"8/5/2020 8:48:21 AM","Personal"
"38",27295,"11/1/2012 12:00:00 AM",420,590,6063,126,245,111,267,1983,41,2204,69,"8/5/2020 8:48:21 AM","Personal"
"39",27296,"11/1/2012 12:00:00 AM",15,16,280,4,3,1,10,95,0,130,6,"8/5/2020 8:48:21 AM","Corporate"
"40",27297,"12/1/2012 12:00:00 AM",16,18,255,4,4,0,5,75,1,132,0,"8/5/2020 8:48:21 AM","Corporate"
"41",27298,"12/1/2012 12:00:00 AM",346,513,4599,87,185,92,177,1638,37,1451,69,"8/5/2020 8:48:21 AM","Personal"
"42",27299,"1/1/2013 12:00:00 AM",446,589,5465,82,222,131,216,1613,39,2046,80,"8/5/2020 8:48:21 AM","Personal"
"43",27300,"1/1/2013 12:00:00 AM",10,16,240,5,4,3,9,78,3,109,3,"8/5/2020 8:48:21 AM","Corporate"
"44",27301,"2/1/2013 12:00:00 AM",14,19,278,6,5,1,8,65,3,151,4,"8/5/2020 8:48:21 AM","Corporate"
"45",27302,"2/1/2013 12:00:00 AM",412,582,5374,70,228,135,224,1556,32,2058,73,"8/5/2020 8:48:21 AM","Personal"
"46",27303,"3/1/2013 12:00:00 AM",429,597,5796,107,207,136,283,1885,29,2030,90,"8/5/2020 8:48:21 AM","Personal"
"47",27304,"3/1/2013 12:00:00 AM",12,22,288,3,2,0,6,93,0,137,13,"8/5/2020 8:48:21 AM","Corporate"
"48",27305,"4/1/2013 12:00:00 AM",15,13,300,6,5,2,7,112,1,133,6,"8/5/2020 8:48:21 AM","Corporate"
"49",27306,"4/1/2013 12:00:00 AM",464,676,6634,109,253,138,327,2136,40,2384,104,"8/5/2020 8:48:21 AM","Personal"
"50",27307,"5/1/2013 12:00:00 AM",434,678,6576,117,272,159,319,2085,34,2384,91,"8/5/2020 8:48:21 AM","Personal"
"51",27308,"5/1/2013 12:00:00 AM",11,22,287,1,5,4,6,78,0,153,7,"8/5/2020 8:48:21 AM","Corporate"
"52",27309,"6/1/2013 12:00:00 AM",9,17,230,3,7,1,8,65,0,112,8,"8/5/2020 8:48:21 AM","Corporate"
"53",27310,"6/1/2013 12:00:00 AM",375,578,5602,104,234,135,265,1803,36,2000,65,"8/5/2020 8:48:21 AM","Personal"
"54",27311,"7/1/2013 12:00:00 AM",385,586,5802,104,262,140,259,1835,53,2081,89,"8/5/2020 8:48:21 AM","Personal"
"55",27312,"7/1/2013 12:00:00 AM",9,8,247,3,5,0,5,71,0,138,8,"8/5/2020 8:48:21 AM","Corporate"
"56",27313,"8/1/2013 12:00:00 AM",7,11,256,10,4,4,11,85,2,118,4,"8/5/2020 8:48:21 AM","Corporate"
"57",27314,"8/1/2013 12:00:00 AM",379,519,5654,99,265,109,283,1761,44,2097,94,"8/5/2020 8:48:21 AM","Personal"
"58",27315,"9/1/2013 12:00:00 AM",375,573,5651,95,213,115,300,1727,24,2127,101,"8/5/2020 8:48:21 AM","Personal"
"59",27316,"9/1/2013 12:00:00 AM",13,18,254,5,4,0,6,74,4,126,4,"8/5/2020 8:48:21 AM","Corporate"
