"","Id","StructureType","Area","When","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"1",223000,"Total commercial","All areas","1/1/2011 12:00:00 AM",229472000,122140000,1163124000,19206000,19648000,6470000,44893000,396096000,6535000,241055000,76839000,"7/31/2020 10:09:33 AM"
"2",223001,"Total industrial","All areas","1/1/2011 12:00:00 AM",92339000,14303000,453495000,9400000,4484000,202000,3979000,210930000,1123000,111739000,4631000,"7/31/2020 10:09:33 AM"
"3",223002,"Total institutional and governmental","All areas","1/1/2011 12:00:00 AM",26351000,50818000,572413000,9203000,16007000,5760000,7099000,329206000,170000,97458000,30145000,"7/31/2020 10:09:33 AM"
"4",223003,"Total residential","All areas","1/1/2011 12:00:00 AM",496178000,517860000,3661697000,97353000,42401000,56552000,56966000,1294427000,7718000,975976000,111463000,"7/31/2020 10:09:33 AM"
"5",223004,"Total residential and non-residential","All areas","1/1/2011 12:00:00 AM",844339000,705120000,5850729000,135163000,82540000,68984000,112938000,2230658000,15546000,1426227000,223078000,"7/31/2020 10:09:33 AM"
"6",223005,"Total commercial","All areas","2/1/2011 12:00:00 AM",341764000,130973000,1316839000,30166000,13933000,16507000,37917000,420154000,7019000,248615000,68783000,"7/31/2020 10:09:33 AM"
"7",223006,"Total industrial","All areas","2/1/2011 12:00:00 AM",393005000,10591000,700777000,11812000,4649000,191000,410000,216757000,175000,51635000,11122000,"7/31/2020 10:09:33 AM"
"8",223007,"Total institutional and governmental","All areas","2/1/2011 12:00:00 AM",50527000,88002000,1002445000,10279000,6289000,903000,10343000,743935000,859000,73584000,17679000,"7/31/2020 10:09:33 AM"
"9",223008,"Total residential","All areas","2/1/2011 12:00:00 AM",456568000,491005000,3291475000,103587000,41311000,44130000,93846000,1085157000,9104000,845747000,115625000,"7/31/2020 10:09:33 AM"
"10",223009,"Total residential and non-residential","All areas","2/1/2011 12:00:00 AM",1241865000,720572000,6311536000,155844000,66183000,61731000,142515000,2466003000,17157000,1219581000,213210000,"7/31/2020 10:09:33 AM"
"11",223010,"Total commercial","All areas","3/1/2011 12:00:00 AM",213706000,265544000,1233478000,20678000,21571000,6473000,49987000,381877000,2204000,201338000,67633000,"7/31/2020 10:09:33 AM"
"12",223011,"Total industrial","All areas","3/1/2011 12:00:00 AM",86944000,25690000,380237000,7530000,1882000,532000,2604000,122414000,5220000,119926000,6996000,"7/31/2020 10:09:33 AM"
"13",223012,"Total institutional and governmental","All areas","3/1/2011 12:00:00 AM",55417000,60150000,872739000,35741000,20283000,5465000,7730000,592273000,4033000,79381000,10682000,"7/31/2020 10:09:33 AM"
"14",223013,"Total residential","All areas","3/1/2011 12:00:00 AM",539958000,463517000,3938783000,98306000,44552000,48118000,82480000,1659103000,10363000,877908000,102762000,"7/31/2020 10:09:33 AM"
"15",223014,"Total residential and non-residential","All areas","3/1/2011 12:00:00 AM",896024000,814901000,6425236000,162256000,88288000,60588000,142801000,2755667000,21820000,1278553000,188073000,"7/31/2020 10:09:33 AM"
"16",223015,"Total commercial","All areas","4/1/2011 12:00:00 AM",191823000,168004000,1061793000,18120000,18585000,12999000,23515000,385381000,1459000,199180000,41920000,"7/31/2020 10:09:33 AM"
