"","Id","When","Type","Alberta","ModifiedDate"
"1",127409,"1/1/1991 12:00:00 AM","Alberta Incorporations",232,"8/4/2020 3:48:36 PM"
"2",127410,"2/1/1991 12:00:00 AM","Alberta Incorporations",1281,"8/4/2020 3:48:36 PM"
"3",127411,"3/1/1991 12:00:00 AM","Alberta Incorporations",1286,"8/4/2020 3:48:36 PM"
"4",127412,"4/1/1991 12:00:00 AM","Alberta Incorporations",1377,"8/4/2020 3:48:36 PM"
"5",127413,"5/1/1991 12:00:00 AM","Alberta Incorporations",1941,"8/4/2020 3:48:36 PM"
"6",127414,"6/1/1991 12:00:00 AM","Alberta Incorporations",955,"8/4/2020 3:48:36 PM"
"7",127415,"7/1/1991 12:00:00 AM","Alberta Incorporations",991,"8/4/2020 3:48:36 PM"
"8",127416,"8/1/1991 12:00:00 AM","Alberta Incorporations",1022,"8/4/2020 3:48:36 PM"
"9",127417,"9/1/1991 12:00:00 AM","Alberta Incorporations",1038,"8/4/2020 3:48:36 PM"
"10",127418,"10/1/1991 12:00:00 AM","Alberta Incorporations",1267,"8/4/2020 3:48:36 PM"
"11",127419,"11/1/1991 12:00:00 AM","Alberta Incorporations",1173,"8/4/2020 3:48:36 PM"
"12",127420,"12/1/1991 12:00:00 AM","Alberta Incorporations",1122,"8/4/2020 3:48:36 PM"
"13",127421,"1/1/1992 12:00:00 AM","Alberta Incorporations",1180,"8/4/2020 3:48:36 PM"
"14",127422,"2/1/1992 12:00:00 AM","Alberta Incorporations",1257,"8/4/2020 3:48:36 PM"
"15",127423,"3/1/1992 12:00:00 AM","Alberta Incorporations",1501,"8/4/2020 3:48:36 PM"
"16",127424,"4/1/1992 12:00:00 AM","Alberta Incorporations",1262,"8/4/2020 3:48:36 PM"
"17",127425,"5/1/1992 12:00:00 AM","Alberta Incorporations",1120,"8/4/2020 3:48:36 PM"
"18",127426,"6/1/1992 12:00:00 AM","Alberta Incorporations",1318,"8/4/2020 3:48:36 PM"
"19",127427,"7/1/1992 12:00:00 AM","Alberta Incorporations",1163,"8/4/2020 3:48:36 PM"
