"","Id","When","Type","Sex","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"1",101827,"1/1/1997 12:00:00 AM","Regular benefits","Both sexes",43090,77480,695830,17400,40960,36900,34820,173710,10170,240420,13560,"4/16/2020 9:25:40 AM"
"2",101828,"1/1/1997 12:00:00 AM","Regular benefits","Females",18260,32520,297270,7360,16870,15040,14540,75970,4500,103430,5370,"4/16/2020 9:25:40 AM"
"3",101829,"1/1/1997 12:00:00 AM","Regular benefits","Males",24830,44960,398550,10040,24090,21860,20280,97730,5670,136990,8190,"4/16/2020 9:25:40 AM"
"4",101830,"2/1/1997 12:00:00 AM","Regular benefits","Both sexes",40860,75280,684520,17300,39970,36020,34610,175600,10080,234320,13350,"4/16/2020 9:25:40 AM"
"5",101831,"2/1/1997 12:00:00 AM","Regular benefits","Females",17460,31810,290350,7240,15960,14400,14200,76400,4400,99820,5410,"4/16/2020 9:25:40 AM"
"6",101832,"2/1/1997 12:00:00 AM","Regular benefits","Males",23410,43470,394180,10050,24010,21630,20410,99200,5680,134500,7940,"4/16/2020 9:25:40 AM"
"7",101833,"3/1/1997 12:00:00 AM","Regular benefits","Both sexes",40390,73710,673220,16870,38870,35200,34280,174430,9960,229730,12760,"4/16/2020 9:25:40 AM"
"8",101834,"3/1/1997 12:00:00 AM","Regular benefits","Females",17180,31290,284010,6970,15410,13910,13890,75880,4290,96920,5070,"4/16/2020 9:25:40 AM"
"9",101835,"3/1/1997 12:00:00 AM","Regular benefits","Males",23200,42430,389210,9900,23450,21290,20380,98550,5670,132810,7690,"4/16/2020 9:25:40 AM"
"10",101836,"4/1/1997 12:00:00 AM","Regular benefits","Both sexes",36250,72030,667970,16840,37910,35610,35030,173980,9800,230830,12690,"4/16/2020 9:25:40 AM"
"11",101837,"4/1/1997 12:00:00 AM","Regular benefits","Females",16000,30170,279600,6820,14920,13850,13920,75430,4230,96040,5030,"4/16/2020 9:25:40 AM"
"12",101838,"4/1/1997 12:00:00 AM","Regular benefits","Males",20250,41860,388370,10030,22990,21760,21110,98550,5570,134790,7660,"4/16/2020 9:25:40 AM"
"13",101839,"5/1/1997 12:00:00 AM","Regular benefits","Both sexes",36930,71630,672020,17150,40350,37760,36850,170360,10710,230440,12670,"4/16/2020 9:25:40 AM"
"14",101840,"5/1/1997 12:00:00 AM","Regular benefits","Females",15940,29590,277730,6660,15580,14390,14190,74760,4430,94070,4980,"4/16/2020 9:25:40 AM"
