"","Id","When","FarmCashReceiptType","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"1",39325,"1/1/1971 12:00:00 AM","Total crops receipts",70508000,12575000,367395000,28784000,4944000,0,3133000,123498000,5482000,19698000,98773000,"5/26/2020 8:59:29 AM"
"2",39326,"1/1/1971 12:00:00 AM","Total farm cash receipts",172888000,45264000,974805000,76100000,12118000,0,15517000,348193000,10843000,135851000,158031000,"5/26/2020 8:59:29 AM"
"3",39327,"1/1/1971 12:00:00 AM","Total receipts from livestock and livestock products",98165000,32500000,585108000,45416000,7035000,0,12314000,219517000,5116000,110124000,54921000,"5/26/2020 8:59:29 AM"
"4",39328,"1/1/1971 12:00:00 AM","Total receipts from direct payments",4215000,189000,22302000,1900000,139000,0,70000,5178000,245000,6029000,4337000,"5/26/2020 8:59:29 AM"
"5",39329,"4/1/1971 12:00:00 AM","Total crops receipts",78704000,11830000,410560000,37757000,7118000,0,2677000,72686000,3439000,16760000,179589000,"5/26/2020 8:59:29 AM"
"6",39330,"4/1/1971 12:00:00 AM","Total farm cash receipts",186326000,43894000,1077342000,87022000,14920000,0,14861000,313925000,9664000,169827000,236903000,"5/26/2020 8:59:29 AM"
"7",39331,"4/1/1971 12:00:00 AM","Total receipts from livestock and livestock products",106418000,31941000,653580000,45313000,7653000,0,12138000,237546000,5979000,150065000,56527000,"5/26/2020 8:59:29 AM"
"8",39332,"4/1/1971 12:00:00 AM","Total receipts from direct payments",1204000,123000,13202000,3952000,149000,0,46000,3693000,246000,3002000,787000,"5/26/2020 8:59:29 AM"
"9",39333,"7/1/1971 12:00:00 AM","Total crops receipts",83870000,24124000,497988000,44712000,3731000,0,5578000,127357000,1632000,23911000,183073000,"5/26/2020 8:59:29 AM"
"10",39334,"7/1/1971 12:00:00 AM","Total farm cash receipts",221683000,58982000,1248920000,94472000,12136000,0,17515000,380972000,8338000,207024000,247798000,"5/26/2020 8:59:29 AM"
"11",39335,"7/1/1971 12:00:00 AM","Total receipts from livestock and livestock products",133025000,34677000,696061000,47527000,8106000,0,11833000,238756000,6175000,154715000,61247000,"5/26/2020 8:59:29 AM"
"12",39336,"7/1/1971 12:00:00 AM","Total receipts from direct payments",4788000,181000,54871000,2233000,299000,0,104000,14859000,531000,28398000,3478000,"5/26/2020 8:59:29 AM"
"13",39337,"10/1/1971 12:00:00 AM","Total crops receipts",101830000,24806000,591738000,62652000,4754000,0,3147000,142294000,3584000,24686000,223985000,"5/26/2020 8:59:29 AM"
"14",39338,"10/1/1971 12:00:00 AM","Total farm cash receipts",232680000,73929000,1352030000,120855000,13587000,0,16756000,394723000,9726000,177210000,312564000,"5/26/2020 8:59:29 AM"
"15",39339,"10/1/1971 12:00:00 AM","Total receipts from livestock and livestock products",125275000,47798000,722311000,55936000,8610000,0,13492000,242574000,5478000,135879000,87269000,"5/26/2020 8:59:29 AM"
"16",39340,"10/1/1971 12:00:00 AM","Total receipts from direct payments",5575000,1325000,37981000,2267000,223000,0,117000,9855000,664000,16645000,1310000,"5/26/2020 8:59:29 AM"
"17",39341,"1/1/1972 12:00:00 AM","Total crops receipts",70784000,11550000,418074000,29509000,4769000,0,3213000,133962000,5124000,19954000,139209000,"5/26/2020 8:59:29 AM"
"18",39342,"1/1/1972 12:00:00 AM","Total farm cash receipts",207653000,49627000,1125876000,82423000,13616000,0,16313000,383515000,11369000,155231000,206129000,"5/26/2020 8:59:29 AM"
"19",39343,"1/1/1972 12:00:00 AM","Total receipts from livestock and livestock products",131605000,37879000,678948000,50807000,8094000,0,12931000,240839000,5654000,126432000,64707000,"5/26/2020 8:59:29 AM"
"20",39344,"1/1/1972 12:00:00 AM","Total receipts from direct payments",5264000,198000,28854000,2107000,753000,0,169000,8714000,591000,8845000,2213000,"5/26/2020 8:59:29 AM"
"21",39345,"4/1/1972 12:00:00 AM","Total crops receipts",73129000,11100000,438399000,53234000,6096000,0,3180000,64161000,2667000,24965000,199867000,"5/26/2020 8:59:29 AM"
"22",39346,"4/1/1972 12:00:00 AM","Total farm cash receipts",225632000,48866000,1321076000,120476000,15516000,35000,16001000,361506000,10378000,215597000,307069000,"5/26/2020 8:59:29 AM"
"23",39347,"4/1/1972 12:00:00 AM","Total receipts from livestock and livestock products",130168000,36979000,789474000,56070000,8593000,0,12633000,287078000,6943000,176841000,74169000,"5/26/2020 8:59:29 AM"
"24",39348,"4/1/1972 12:00:00 AM","Total receipts from direct payments",22335000,787000,93203000,11172000,827000,35000,188000,10267000,768000,13791000,33033000,"5/26/2020 8:59:29 AM"
"25",39349,"7/1/1972 12:00:00 AM","Total crops receipts",71479000,26682000,530630000,56854000,4968000,0,7684000,131190000,1911000,21772000,208090000,"5/26/2020 8:59:29 AM"
"26",39350,"7/1/1972 12:00:00 AM","Total farm cash receipts",220435000,65712000,1375638000,118856000,14983000,92000,21041000,424077000,9350000,216480000,284612000,"5/26/2020 8:59:29 AM"
"27",39351,"7/1/1972 12:00:00 AM","Total receipts from livestock and livestock products",146148000,38691000,803948000,60428000,9534000,0,13106000,275492000,6841000,178149000,75559000,"5/26/2020 8:59:29 AM"
"28",39352,"7/1/1972 12:00:00 AM","Total receipts from direct payments",2808000,339000,41060000,1574000,481000,92000,251000,17395000,598000,16559000,963000,"5/26/2020 8:59:29 AM"
"29",39353,"10/1/1972 12:00:00 AM","Total crops receipts",162154000,29422000,812997000,99247000,10515000,3531000,3991000,173825000,6776000,27870000,295666000,"5/26/2020 8:59:29 AM"
"30",39354,"10/1/1972 12:00:00 AM","Total farm cash receipts",310937000,86698000,1742678000,175828000,20687000,12540000,19126000,478043000,14045000,211782000,412992000,"5/26/2020 8:59:29 AM"
"31",39355,"10/1/1972 12:00:00 AM","Total receipts from livestock and livestock products",143048000,56084000,869559000,72445000,9953000,9007000,14974000,289736000,6580000,157004000,110728000,"5/26/2020 8:59:29 AM"
"32",39356,"10/1/1972 12:00:00 AM","Total receipts from direct payments",5735000,1192000,60122000,4136000,219000,2000,161000,14482000,689000,26908000,6598000,"5/26/2020 8:59:29 AM"
"33",39357,"1/1/1973 12:00:00 AM","Total crops receipts",90747000,13788000,546981000,42769000,14176000,0,4105000,161892000,15361000,19377000,184766000,"5/26/2020 8:59:29 AM"
"34",39358,"1/1/1973 12:00:00 AM","Total farm cash receipts",253974000,57865000,1425690000,117774000,23641000,0,20664000,477620000,22925000,173491000,277736000,"5/26/2020 8:59:29 AM"
"35",39359,"1/1/1973 12:00:00 AM","Total receipts from livestock and livestock products",160655000,44034000,856684000,74120000,9337000,0,16519000,309289000,7292000,144347000,91091000,"5/26/2020 8:59:29 AM"
