"","Id","When","Type","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"1",592113,"8/1/1966 12:00:00 AM","All grains, total",357880,NA,NA,NA,NA,NA,289506,NA,NA,NA,783565,"7/23/2020 9:48:24 AM"
"2",592114,"8/1/1966 12:00:00 AM","Barley",89581,NA,NA,NA,NA,NA,59907,NA,NA,NA,91703,"7/23/2020 9:48:24 AM"
"3",592115,"8/1/1966 12:00:00 AM","Canola (rapeseed)",1932,NA,NA,NA,NA,NA,2545,NA,NA,NA,9569,"7/23/2020 9:48:24 AM"
"4",592116,"8/1/1966 12:00:00 AM","Durum wheat",2697,NA,NA,NA,NA,NA,1203,NA,NA,NA,29298,"7/23/2020 9:48:24 AM"
"5",592117,"8/1/1966 12:00:00 AM","Flaxseed",2693,NA,NA,NA,NA,NA,5543,NA,NA,NA,4976,"7/23/2020 9:48:24 AM"
"6",592118,"8/1/1966 12:00:00 AM","Oats",19666,NA,NA,NA,NA,NA,53863,NA,NA,NA,50511,"7/23/2020 9:48:24 AM"
"7",592119,"8/1/1966 12:00:00 AM","Rye",25399,NA,NA,NA,NA,NA,29415,NA,NA,NA,62078,"7/23/2020 9:48:24 AM"
"8",592120,"8/1/1966 12:00:00 AM","Wheat, excluding durum",215912,NA,NA,NA,NA,NA,137030,NA,NA,NA,535430,"7/23/2020 9:48:24 AM"
"9",592121,"9/1/1966 12:00:00 AM","All grains, total",413836,NA,NA,NA,NA,NA,361487,NA,NA,NA,1208524,"7/23/2020 9:48:24 AM"
"10",592122,"9/1/1966 12:00:00 AM","Barley",129833,NA,NA,NA,NA,NA,41146,NA,NA,NA,107201,"7/23/2020 9:48:24 AM"
"11",592123,"9/1/1966 12:00:00 AM","Canola (rapeseed)",24333,NA,NA,NA,NA,NA,8380,NA,NA,NA,45053,"7/23/2020 9:48:24 AM"
"12",592124,"9/1/1966 12:00:00 AM","Durum wheat",1647,NA,NA,NA,NA,NA,950,NA,NA,NA,39710,"7/23/2020 9:48:24 AM"
"13",592125,"9/1/1966 12:00:00 AM","Flaxseed",7486,NA,NA,NA,NA,NA,62489,NA,NA,NA,13597,"7/23/2020 9:48:24 AM"
"14",592126,"9/1/1966 12:00:00 AM","Oats",12103,NA,NA,NA,NA,NA,48040,NA,NA,NA,33919,"7/23/2020 9:48:24 AM"
"15",592127,"9/1/1966 12:00:00 AM","Rye",6637,NA,NA,NA,NA,NA,2372,NA,NA,NA,12200,"7/23/2020 9:48:24 AM"
"16",592128,"9/1/1966 12:00:00 AM","Wheat, excluding durum",231797,NA,NA,NA,NA,NA,198110,NA,NA,NA,956844,"7/23/2020 9:48:24 AM"
"17",592129,"10/1/1966 12:00:00 AM","All grains, total",689968,NA,NA,NA,NA,NA,344699,NA,NA,NA,1391471,"7/23/2020 9:48:24 AM"
"18",592130,"10/1/1966 12:00:00 AM","Barley",175192,NA,NA,NA,NA,NA,38254,NA,NA,NA,94301,"7/23/2020 9:48:24 AM"
"19",592131,"10/1/1966 12:00:00 AM","Canola (rapeseed)",31098,NA,NA,NA,NA,NA,2588,NA,NA,NA,16520,"7/23/2020 9:48:24 AM"
"20",592132,"10/1/1966 12:00:00 AM","Durum wheat",3497,NA,NA,NA,NA,NA,1301,NA,NA,NA,51378,"7/23/2020 9:48:24 AM"
"21",592133,"10/1/1966 12:00:00 AM","Flaxseed",22025,NA,NA,NA,NA,NA,49677,NA,NA,NA,26575,"7/23/2020 9:48:24 AM"
"22",592134,"10/1/1966 12:00:00 AM","Oats",25565,NA,NA,NA,NA,NA,14569,NA,NA,NA,22812,"7/23/2020 9:48:24 AM"
"23",592135,"10/1/1966 12:00:00 AM","Rye",3274,NA,NA,NA,NA,NA,963,NA,NA,NA,6797,"7/23/2020 9:48:24 AM"
"24",592136,"10/1/1966 12:00:00 AM","Wheat, excluding durum",429317,NA,NA,NA,NA,NA,237347,NA,NA,NA,1173088,"7/23/2020 9:48:24 AM"
"25",592137,"11/1/1966 12:00:00 AM","All grains, total",421000,NA,NA,NA,NA,NA,232107,NA,NA,NA,1014608,"7/23/2020 9:48:24 AM"
"26",592138,"11/1/1966 12:00:00 AM","Barley",75934,NA,NA,NA,NA,NA,20477,NA,NA,NA,43188,"7/23/2020 9:48:24 AM"
"27",592139,"11/1/1966 12:00:00 AM","Canola (rapeseed)",15676,NA,NA,NA,NA,NA,2118,NA,NA,NA,8936,"7/23/2020 9:48:24 AM"
"28",592140,"11/1/1966 12:00:00 AM","Durum wheat",3723,NA,NA,NA,NA,NA,1551,NA,NA,NA,41180,"7/23/2020 9:48:24 AM"
"29",592141,"11/1/1966 12:00:00 AM","Flaxseed",8929,NA,NA,NA,NA,NA,10806,NA,NA,NA,3020,"7/23/2020 9:48:24 AM"
"30",592142,"11/1/1966 12:00:00 AM","Oats",9640,NA,NA,NA,NA,NA,11870,NA,NA,NA,8285,"7/23/2020 9:48:24 AM"
"31",592143,"11/1/1966 12:00:00 AM","Rye",1184,NA,NA,NA,NA,NA,897,NA,NA,NA,2916,"7/23/2020 9:48:24 AM"
"32",592144,"11/1/1966 12:00:00 AM","Wheat, excluding durum",305914,NA,NA,NA,NA,NA,184388,NA,NA,NA,907083,"7/23/2020 9:48:24 AM"
"33",592145,"12/1/1966 12:00:00 AM","All grains, total",568305,NA,NA,NA,NA,NA,242304,NA,NA,NA,1368869,"7/23/2020 9:48:24 AM"
"34",592146,"12/1/1966 12:00:00 AM","Barley",77334,NA,NA,NA,NA,NA,15493,NA,NA,NA,37642,"7/23/2020 9:48:24 AM"
"35",592147,"12/1/1966 12:00:00 AM","Canola (rapeseed)",20112,NA,NA,NA,NA,NA,4055,NA,NA,NA,20219,"7/23/2020 9:48:24 AM"
"36",592148,"12/1/1966 12:00:00 AM","Durum wheat",12791,NA,NA,NA,NA,NA,2760,NA,NA,NA,178180,"7/23/2020 9:48:24 AM"
"37",592149,"12/1/1966 12:00:00 AM","Flaxseed",8009,NA,NA,NA,NA,NA,16694,NA,NA,NA,9556,"7/23/2020 9:48:24 AM"
"38",592150,"12/1/1966 12:00:00 AM","Oats",8977,NA,NA,NA,NA,NA,8101,NA,NA,NA,7221,"7/23/2020 9:48:24 AM"
