"","Id","When","Cal","Alberta","BritishColumbia","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"1",64425,"1/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,129.46,NA,152.13,144.57,128.58,NA,"8/7/2020 9:08:35 AM"
"2",64426,"2/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,147.08,NA,160.09,146.4,133.5,NA,"8/7/2020 9:08:35 AM"
"3",64427,"3/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,149.76,NA,159.4,140.62,134.09,NA,"8/7/2020 9:08:35 AM"
"4",64428,"4/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,143.49,NA,153.45,147.47,133.28,NA,"8/7/2020 9:08:35 AM"
"5",64429,"5/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,146.05,NA,153.05,147.19,141.72,NA,"8/7/2020 9:08:35 AM"
"6",64430,"6/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,145.14,NA,153.1,151.68,134.85,NA,"8/7/2020 9:08:35 AM"
"7",64431,"7/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,151.52,NA,153.52,150.7,126.89,NA,"8/7/2020 9:08:35 AM"
"8",64432,"8/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,143.46,NA,149.46,142.12,130.13,NA,"8/7/2020 9:08:35 AM"
"9",64433,"9/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,135.42,NA,156.52,141.57,118.16,NA,"8/7/2020 9:08:35 AM"
"10",64434,"10/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,140.51,NA,153.02,131.18,118.8,NA,"8/7/2020 9:08:35 AM"
"11",64435,"11/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,139.62,NA,151.87,131.18,117.95,NA,"8/7/2020 9:08:35 AM"
"12",64436,"12/1/1992 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,144.41,NA,149.53,131.18,120.93,NA,"8/7/2020 9:08:35 AM"
"13",64437,"1/1/1993 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,143.94,NA,142.7,143.77,143.65,NA,"8/7/2020 9:08:35 AM"
"14",64438,"2/1/1993 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,141.22,NA,183.37,140.1,127.07,NA,"8/7/2020 9:08:35 AM"
"15",64439,"3/1/1993 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,141.22,NA,145.47,139.82,125.83,NA,"8/7/2020 9:08:35 AM"
"16",64440,"4/1/1993 12:00:00 AM","Wheat excluding durum",NA,NA,NA,NA,102.05,NA,173.92,134.37,120.56,NA,"8/7/2020 9:08:35 AM"
