"","Id","When","Cal","Alberta","Canada","BritishColumbia","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"1",158729,"1/1/1985 12:00:00 AM","Slaughter, calves",81.15,NA,83.78,92.35,67.87,68.58,68.58,82.1,72.5,88.53,79.99,"8/7/2020 9:11:43 AM"
"2",158730,"1/1/1985 12:00:00 AM","Slaughter, cattle",69.88,NA,65.61,74.5,57.02,68.74,68.74,82.7,65.12,48.9,70.61,"8/7/2020 9:11:43 AM"
"3",158731,"1/1/1985 12:00:00 AM","Hogs",69.53,NA,73.98,67.74,73.31,NA,72.98,73.99,73.33,72.18,70.13,"8/7/2020 9:11:43 AM"
"4",158732,"2/1/1985 12:00:00 AM","Slaughter, calves",82.94,NA,89.12,91.19,68.16,63.81,63.81,85.4,75.93,96.16,82.35,"8/7/2020 9:11:43 AM"
"5",158733,"2/1/1985 12:00:00 AM","Slaughter, cattle",71.24,NA,66.75,72.72,62.88,69.58,69.58,82.2,66.26,51.08,70.28,"8/7/2020 9:11:43 AM"
"6",158734,"2/1/1985 12:00:00 AM","Hogs",71.41,NA,75.74,69.32,75.24,NA,75.1,75.48,74.96,73.59,72.4,"8/7/2020 9:11:43 AM"
"7",158735,"3/1/1985 12:00:00 AM","Slaughter, calves",82.07,NA,87.4,92.61,72.46,70.72,70.72,88.5,77.75,91.66,82.53,"8/7/2020 9:11:43 AM"
"8",158736,"3/1/1985 12:00:00 AM","Slaughter, cattle",70.43,NA,64.7,74.25,64.51,72.17,72.17,83,66.8,50.06,69.31,"8/7/2020 9:11:43 AM"
"9",158737,"3/1/1985 12:00:00 AM","Hogs",67.94,NA,72.37,65.65,71.36,NA,71.5,70.81,70.85,69.13,69.12,"8/7/2020 9:11:43 AM"
"10",158738,"4/1/1985 12:00:00 AM","Slaughter, calves",80.06,NA,86.84,92.63,69.44,74.5,74.5,85.8,74.88,85.38,79.71,"8/7/2020 9:11:43 AM"
"11",158739,"4/1/1985 12:00:00 AM","Slaughter, cattle",69.53,NA,65.02,74.47,62.4,68.38,68.38,80.5,65.34,52.43,70.67,"8/7/2020 9:11:43 AM"
"12",158740,"4/1/1985 12:00:00 AM","Hogs",59.06,NA,65.32,57.11,62.39,NA,62.39,61.25,61.12,59.63,58.92,"8/7/2020 9:11:43 AM"
"13",158741,"5/1/1985 12:00:00 AM","Slaughter, calves",80.23,NA,86.26,92.84,69.84,76.26,76.26,84.4,74.27,87.21,80.15,"8/7/2020 9:11:43 AM"
"14",158742,"5/1/1985 12:00:00 AM","Slaughter, cattle",70.09,NA,64.61,72.93,62.65,69.14,69.14,79.7,66.61,51.12,70.77,"8/7/2020 9:11:43 AM"
"15",158743,"5/1/1985 12:00:00 AM","Hogs",61.02,NA,64.61,60.51,61.18,NA,61.01,63.2,61.58,61.21,60.13,"8/7/2020 9:11:43 AM"
"16",158744,"6/1/1985 12:00:00 AM","Slaughter, calves",80.33,NA,86.75,93.6,74.83,75.33,75.33,87,79.5,92.53,81.7,"8/7/2020 9:11:43 AM"
"17",158745,"6/1/1985 12:00:00 AM","Slaughter, cattle",70.33,NA,64.35,72.76,61.21,70.47,70.47,78.6,67.59,53.39,70.38,"8/7/2020 9:11:43 AM"
"18",158746,"6/1/1985 12:00:00 AM","Hogs",65.39,NA,68.89,62.72,67.42,NA,67.5,69.5,68.32,67.67,64.98,"8/7/2020 9:11:43 AM"
"19",158747,"7/1/1985 12:00:00 AM","Slaughter, calves",78.46,NA,80.22,91.17,76.27,74.63,74.63,84.5,74.84,81.52,78.2,"8/7/2020 9:11:43 AM"
"20",158748,"7/1/1985 12:00:00 AM","Slaughter, cattle",65.09,NA,62.41,70.9,58.65,69.72,69.72,75.1,63.88,50.25,66.51,"8/7/2020 9:11:43 AM"
"21",158749,"7/1/1985 12:00:00 AM","Hogs",69.11,NA,72.42,66.12,71.03,NA,71.18,72.98,71.18,71.15,68.28,"8/7/2020 9:11:43 AM"
"22",158750,"8/1/1985 12:00:00 AM","Slaughter, calves",76.11,NA,71.22,87.68,76.19,69.61,69.61,82.2,74.25,77.64,79.65,"8/7/2020 9:11:43 AM"
"23",158751,"8/1/1985 12:00:00 AM","Slaughter, cattle",64.23,NA,59.74,68.18,59.56,66.78,66.78,70.1,63.13,51.73,64.89,"8/7/2020 9:11:43 AM"
