"","Id","When","NAPCS","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"1",36874,"1/1/2014 12:00:00 AM","Total softwood, production",719900,2618300,4863400,NA,NA,NA,NA,229300,NA,967200,38500,"8/4/2020 9:48:53 AM"
"2",36875,"2/1/2014 12:00:00 AM","Total softwood, production",637000,2338500,4552600,NA,NA,NA,NA,229500,0,1024400,36900,"8/4/2020 9:48:53 AM"
"3",36876,"3/1/2014 12:00:00 AM","Total softwood, production",731000,2591300,5034300,NA,NA,NA,NA,247000,0,1106800,39800,"8/4/2020 9:48:53 AM"
"4",36877,"4/1/2014 12:00:00 AM","Total softwood, production",726000,2624900,5085500,NA,NA,NA,NA,270800,NA,1103500,44500,"8/4/2020 9:48:53 AM"
"5",36878,"5/1/2014 12:00:00 AM","Total softwood, production",705500,2415300,4763600,NA,NA,NA,NA,243000,NA,1041500,38000,"8/4/2020 9:48:53 AM"
"6",36879,"6/1/2014 12:00:00 AM","Total softwood, production",733600,2517000,4805200,NA,NA,NA,NA,238600,NA,923800,42100,"8/4/2020 9:48:53 AM"
"7",36880,"7/1/2014 12:00:00 AM","Total softwood, production",753900,2533600,4794800,NA,NA,NA,NA,263900,NA,898300,34100,"8/4/2020 9:48:53 AM"
"8",36881,"8/1/2014 12:00:00 AM","Total softwood, production",677800,2367800,4572000,NA,NA,NA,NA,249100,NA,910600,35500,"8/4/2020 9:48:53 AM"
"9",36882,"9/1/2014 12:00:00 AM","Total softwood, production",767300,2457300,4968300,NA,NA,NA,78900,263600,NA,1095400,41200,"8/4/2020 9:48:53 AM"
"10",36883,"10/1/2014 12:00:00 AM","Total softwood, production",776700,2615300,5218800,NA,NA,NA,97000,275700,NA,1138100,42100,"8/4/2020 9:48:53 AM"
"11",36884,"11/1/2014 12:00:00 AM","Total softwood, production",700900,2282500,4676700,NA,NA,NA,80700,247900,NA,1093300,35800,"8/4/2020 9:48:53 AM"
