"","Id","When","DataType","NAICS","PrincipalStatistics","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"1",265640,"1/1/1992 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",245750000,67515000,NA,18467000,5641000,1161000,5501000,1087640000,912000,384369000,10427000,"8/14/2020 10:57:46 AM"
"2",265641,"2/1/1992 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",249485000,53520000,NA,17031000,5231000,1174000,4815000,1034703000,1220000,366960000,8329000,"8/14/2020 10:57:46 AM"
"3",265642,"3/1/1992 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",283797000,62834000,NA,24163000,7387000,1212000,5140000,1189115000,997000,409805000,30803000,"8/14/2020 10:57:46 AM"
"4",265643,"4/1/1992 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",290196000,58863000,NA,25583000,10632000,1211000,6798000,1177888000,1111000,413390000,31641000,"8/14/2020 10:57:46 AM"
"5",265644,"5/1/1992 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",295881000,64565000,NA,34714000,23537000,1262000,8599000,1258983000,10953000,458571000,55308000,"8/14/2020 10:57:46 AM"
"6",265645,"6/1/1992 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",266112000,60174000,NA,24533000,11273000,1264000,6319000,1294929000,5212000,456592000,26946000,"8/14/2020 10:57:46 AM"
"7",265646,"7/1/1992 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",260404000,52780000,NA,18578000,5085000,1158000,5869000,1081186000,1669000,407436000,11916000,"8/14/2020 10:57:46 AM"
"8",265647,"8/1/1992 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",261069000,56729000,NA,19374000,5632000,1197000,5442000,1127685000,1699000,413333000,9790000,"8/14/2020 10:57:46 AM"
"9",265648,"9/1/1992 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",250365000,54010000,NA,16327000,5101000,1292000,5354000,1169580000,1080000,465381000,9191000,"8/14/2020 10:57:46 AM"
"10",265649,"10/1/1992 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",270124000,55170000,NA,24981000,5351000,1282000,4999000,1190839000,1528000,447254000,9509000,"8/14/2020 10:57:46 AM"
"11",265650,"11/1/1992 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",253901000,50824000,NA,16725000,6385000,1216000,4485000,1156688000,968000,428605000,7336000,"8/14/2020 10:57:46 AM"
"12",265651,"12/1/1992 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",253237000,53876000,NA,21591000,7446000,1181000,4157000,1142219000,921000,453609000,8607000,"8/14/2020 10:57:46 AM"
"13",265652,"1/1/1993 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",290355000,59069000,NA,19856000,7876000,981000,4367000,1078859000,603000,381715000,13199000,"8/14/2020 10:57:46 AM"
"14",265653,"2/1/1993 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",252837000,60664000,NA,25298000,6608000,988000,4697000,1069269000,493000,379747000,12532000,"8/14/2020 10:57:46 AM"
"15",265654,"3/1/1993 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",306415000,70540000,NA,33008000,6446000,1159000,4504000,1247995000,802000,465411000,36745000,"8/14/2020 10:57:46 AM"
"16",265655,"4/1/1993 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",314332000,68081000,NA,38812000,9026000,1184000,6184000,1219253000,949000,440069000,35308000,"8/14/2020 10:57:46 AM"
"17",265656,"5/1/1993 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",341854000,72762000,NA,45232000,15195000,1082000,8484000,1263917000,8767000,501894000,69251000,"8/14/2020 10:57:46 AM"
"18",265657,"6/1/1993 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",288892000,73319000,NA,31650000,1e+07,1220000,5827000,1267898000,7016000,489309000,27428000,"8/14/2020 10:57:46 AM"
