"","Trade","Napcs","Id","When","Alberta","IsPreviewData","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"1","Domestic export","Aircraft and other transportation equipment and parts",539153,"1/1/1997 12:00:00 AM",5736000,"False",9584000,733894000,23722000,87000,213000,2498000,202531000,1423000,486947000,1148000,"8/5/2020 9:00:34 AM"
"2","Domestic export","Basic and industrial chemical, plastic and rubber products",539154,"1/1/1997 12:00:00 AM",468743000,"False",82237000,1420716000,9570000,4359000,5000,6626000,622312000,655000,212129000,14077000,"8/5/2020 9:00:34 AM"
"3","Domestic export","Consumer goods",539155,"1/1/1997 12:00:00 AM",128667000,"False",102001000,1860409000,50453000,48666000,15646000,30581000,961874000,8772000,497625000,15956000,"8/5/2020 9:00:34 AM"
"4","Domestic export","Electronic and electrical equipment and parts",539156,"1/1/1997 12:00:00 AM",177856000,"False",65500000,1597282000,19004000,1097000,159000,4843000,868384000,89000,455266000,5083000,"8/5/2020 9:00:34 AM"
"5","Domestic export","Energy products",539157,"1/1/1997 12:00:00 AM",2144487000,"False",300928000,3197953000,47877000,163644000,62530000,29170000,117285000,129000,89818000,242061000,"8/5/2020 9:00:34 AM"
"6","Domestic export","Farm, fishing and intermediate food products",539158,"1/1/1997 12:00:00 AM",287418000,"False",90263000,1240332000,180984000,21603000,3066000,33554000,168186000,7849000,36685000,410705000,"8/5/2020 9:00:34 AM"
"7","Domestic export","Forestry products and building and packaging materials",539159,"1/1/1997 12:00:00 AM",153676000,"False",1251888000,3143025000,38315000,153681000,47268000,44981000,648257000,702000,764763000,39431000,"8/5/2020 9:00:34 AM"
"8","Domestic export","Industrial machinery, equipment and parts",539160,"1/1/1997 12:00:00 AM",47557000,"False",70821000,1243245000,59361000,3967000,257000,3571000,862107000,71000,174901000,20565000,"8/5/2020 9:00:34 AM"
"9","Domestic export","Metal and non-metallic mineral products",539161,"1/1/1997 12:00:00 AM",54654000,"False",129842000,2081775000,36843000,8000000,89000,11942000,1193776000,402000,638495000,7723000,"8/5/2020 9:00:34 AM"
"10","Domestic export","Metal ores and non-metallic minerals",539162,"1/1/1997 12:00:00 AM",31924000,"False",113621000,426321000,1261000,22538000,40737000,7102000,28018000,0,78681000,94823000,"8/5/2020 9:00:34 AM"
"11","Domestic export","Motor vehicles and parts",539163,"1/1/1997 12:00:00 AM",7745000,"False",38472000,5362943000,41181000,362000,32000,63613000,4965178000,0,243193000,3167000,"8/5/2020 9:00:34 AM"
"12","Domestic export","Special transactions trade",539164,"1/1/1997 12:00:00 AM",19217000,"False",23620000,286205000,8072000,4117000,2164000,5374000,152194000,4220000,62653000,4570000,"8/5/2020 9:00:34 AM"
"13","Domestic export","Total of all merchandise",539165,"1/1/1997 12:00:00 AM",3527680000,"False",2278778000,22594101000,516643000,432121000,172168000,243856000,10790102000,24311000,3741155000,859308000,"8/5/2020 9:00:34 AM"
"14","Domestic export","Aircraft and other transportation equipment and parts",539166,"2/1/1997 12:00:00 AM",10997000,"False",8320000,671025000,27322000,74000,0,2437000,283553000,3136000,333705000,1480000,"8/5/2020 9:00:34 AM"
"15","Domestic export","Basic and industrial chemical, plastic and rubber products",539167,"2/1/1997 12:00:00 AM",441401000,"False",62136000,1334810000,10434000,4006000,5000,7125000,619997000,64000,158855000,30786000,"8/5/2020 9:00:34 AM"
"16","Domestic export","Consumer goods",539168,"2/1/1997 12:00:00 AM",126764000,"False",97200000,1916713000,53941000,43538000,9997000,43927000,963669000,7561000,558861000,11055000,"8/5/2020 9:00:34 AM"
"17","Domestic export","Electronic and electrical equipment and parts",539169,"2/1/1997 12:00:00 AM",113993000,"False",66620000,1658409000,28652000,1401000,271000,4217000,943013000,222000,496265000,3753000,"8/5/2020 9:00:34 AM"
"18","Domestic export","Energy products",539170,"2/1/1997 12:00:00 AM",1618430000,"False",249319000,2481826000,46017000,151946000,56430000,6722000,107996000,154000,81193000,163607000,"8/5/2020 9:00:34 AM"
"19","Domestic export","Farm, fishing and intermediate food products",539171,"2/1/1997 12:00:00 AM",251364000,"False",64325000,1079544000,165472000,22041000,1707000,32067000,159766000,4971000,34914000,342861000,"8/5/2020 9:00:34 AM"
"20","Domestic export","Forestry products and building and packaging materials",539172,"2/1/1997 12:00:00 AM",152971000,"False",1338476000,3250747000,35479000,159177000,30535000,54654000,666212000,604000,763877000,48567000,"8/5/2020 9:00:34 AM"
"21","Domestic export","Industrial machinery, equipment and parts",539173,"2/1/1997 12:00:00 AM",50981000,"False",69302000,1263429000,56053000,4009000,133000,2722000,866418000,227000,188738000,24845000,"8/5/2020 9:00:34 AM"
"22","Domestic export","Metal and non-metallic mineral products",539174,"2/1/1997 12:00:00 AM",56041000,"False",141275000,1907298000,36326000,6625000,84000,3645000,1040319000,363000,612960000,9644000,"8/5/2020 9:00:34 AM"
"23","Domestic export","Metal ores and non-metallic minerals",539175,"2/1/1997 12:00:00 AM",18442000,"False",70717000,353369000,584000,26985000,21021000,5859000,20729000,0,43752000,122760000,"8/5/2020 9:00:34 AM"
"24","Domestic export","Motor vehicles and parts",539176,"2/1/1997 12:00:00 AM",8092000,"False",38498000,5732340000,40560000,1200000,85000,54965000,5289627000,0,296634000,2680000,"8/5/2020 9:00:34 AM"
"25","Domestic export","Special transactions trade",539177,"2/1/1997 12:00:00 AM",22178000,"False",23057000,301112000,5217000,3917000,1872000,5466000,168189000,3382000,63692000,4128000,"8/5/2020 9:00:34 AM"
"26","Domestic export","Total of all merchandise",539178,"2/1/1997 12:00:00 AM",2871653000,"False",2229245000,21950622000,506058000,424919000,122141000,223807000,11129487000,20686000,3633446000,766166000,"8/5/2020 9:00:34 AM"
"27","Domestic export","Aircraft and other transportation equipment and parts",539179,"3/1/1997 12:00:00 AM",3532000,"False",8487000,667953000,41121000,199000,161000,1193000,304501000,4096000,303123000,1540000,"8/5/2020 9:00:34 AM"
"28","Domestic export","Basic and industrial chemical, plastic and rubber products",539180,"3/1/1997 12:00:00 AM",424857000,"False",91374000,1433006000,10145000,3063000,42000,9390000,674384000,200000,186526000,33025000,"8/5/2020 9:00:34 AM"
"29","Domestic export","Consumer goods",539181,"3/1/1997 12:00:00 AM",159842000,"False",118658000,2177052000,68996000,43496000,9386000,45183000,1052399000,10314000,650479000,17959000,"8/5/2020 9:00:34 AM"
"30","Domestic export","Electronic and electrical equipment and parts",539182,"3/1/1997 12:00:00 AM",114758000,"False",72565000,1856086000,24794000,1493000,339000,7084000,995983000,42000,633396000,5632000,"8/5/2020 9:00:34 AM"
"31","Domestic export","Energy products",539183,"3/1/1997 12:00:00 AM",1423215000,"False",209825000,2368621000,49490000,123273000,80756000,1170000,112747000,96000,165602000,202434000,"8/5/2020 9:00:34 AM"
"32","Domestic export","Farm, fishing and intermediate food products",539184,"3/1/1997 12:00:00 AM",318923000,"False",90179000,1339620000,206024000,22494000,3046000,31963000,191329000,4075000,34632000,436934000,"8/5/2020 9:00:34 AM"
"33","Domestic export","Forestry products and building and packaging materials",539185,"3/1/1997 12:00:00 AM",166223000,"False",1412995000,3634825000,40647000,189348000,56944000,59462000,716360000,838000,942511000,48835000,"8/5/2020 9:00:34 AM"
"34","Domestic export","Industrial machinery, equipment and parts",539186,"3/1/1997 12:00:00 AM",63903000,"False",88370000,1448844000,63435000,5118000,382000,3439000,1003411000,916000,187301000,32570000,"8/5/2020 9:00:34 AM"
"35","Domestic export","Metal and non-metallic mineral products",539187,"3/1/1997 12:00:00 AM",83523000,"False",132892000,2437213000,32121000,7233000,447000,9940000,1432191000,428000,724422000,14005000,"8/5/2020 9:00:34 AM"
"36","Domestic export","Metal ores and non-metallic minerals",539188,"3/1/1997 12:00:00 AM",18138000,"False",77599000,420582000,1478000,41702000,9101000,6932000,24504000,0,71283000,155899000,"8/5/2020 9:00:34 AM"
"37","Domestic export","Motor vehicles and parts",539189,"3/1/1997 12:00:00 AM",13671000,"False",44501000,5676613000,36522000,582000,53000,58998000,5214486000,28000,303661000,4112000,"8/5/2020 9:00:34 AM"
"38","Domestic export","Special transactions trade",539190,"3/1/1997 12:00:00 AM",23266000,"False",25696000,314875000,6479000,4361000,2178000,5872000,170870000,7225000,63647000,5277000,"8/5/2020 9:00:34 AM"
"39","Domestic export","Total of all merchandise",539191,"3/1/1997 12:00:00 AM",2813851000,"False",2373141000,23775290000,581252000,442361000,162833000,240626000,11893165000,28259000,4266583000,958222000,"8/5/2020 9:00:34 AM"
"40","Domestic export","Aircraft and other transportation equipment and parts",539192,"4/1/1997 12:00:00 AM",3164000,"False",9505000,756304000,22239000,41000,43000,1234000,263908000,1917000,453085000,1167000,"8/5/2020 9:00:34 AM"
