"","Id","When","Vehicle","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"1",336049,"1/1/1946 12:00:00 AM","Passenger cars",0,0,1102,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"2",336050,"1/1/1946 12:00:00 AM","Total, new motor vehicles",0,0,2756,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"3",336051,"1/1/1946 12:00:00 AM","Trucks",0,0,1654,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"4",336052,"2/1/1946 12:00:00 AM","Passenger cars",0,0,1609,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"5",336053,"2/1/1946 12:00:00 AM","Total, new motor vehicles",0,0,3763,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"6",336054,"2/1/1946 12:00:00 AM","Trucks",0,0,2154,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"7",336055,"3/1/1946 12:00:00 AM","Passenger cars",0,0,4734,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"8",336056,"3/1/1946 12:00:00 AM","Total, new motor vehicles",0,0,7200,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"9",336057,"3/1/1946 12:00:00 AM","Trucks",0,0,2466,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"10",336058,"4/1/1946 12:00:00 AM","Passenger cars",0,0,5947,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"11",336059,"4/1/1946 12:00:00 AM","Total, new motor vehicles",0,0,9645,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"12",336060,"4/1/1946 12:00:00 AM","Trucks",0,0,3698,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"13",336061,"5/1/1946 12:00:00 AM","Passenger cars",0,0,7919,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
"14",336062,"5/1/1946 12:00:00 AM","Total, new motor vehicles",0,0,12032,0,0,0,0,0,0,0,0,"8/17/2020 9:26:18 AM"
