"","Id","When","Type","Unit","Alberta","ModifiedDate"
"1",124161,"4/1/1983 12:00:00 AM","WTI","$US/bbl",30.5,"8/25/2020 7:56:07 AM"
"2",124162,"5/1/1983 12:00:00 AM","WTI","$US/bbl",30.16,"8/25/2020 7:56:07 AM"
"3",124163,"6/1/1983 12:00:00 AM","WTI","$US/bbl",30.96,"8/25/2020 7:56:07 AM"
"4",124164,"7/1/1983 12:00:00 AM","WTI","$US/bbl",31.59,"8/25/2020 7:56:07 AM"
"5",124165,"8/1/1983 12:00:00 AM","WTI","$US/bbl",31.88,"8/25/2020 7:56:07 AM"
"6",124166,"9/1/1983 12:00:00 AM","WTI","$US/bbl",31.24,"8/25/2020 7:56:07 AM"
"7",124167,"10/1/1983 12:00:00 AM","WTI","$US/bbl",30.4,"8/25/2020 7:56:07 AM"
"8",124168,"11/1/1983 12:00:00 AM","WTI","$US/bbl",29.86,"8/25/2020 7:56:07 AM"
"9",124169,"12/1/1983 12:00:00 AM","WTI","$US/bbl",29.24,"8/25/2020 7:56:07 AM"
"10",124170,"1/1/1984 12:00:00 AM","WTI","$US/bbl",29.65,"8/25/2020 7:56:07 AM"
"11",124171,"2/1/1984 12:00:00 AM","WTI","$US/bbl",30.05,"8/25/2020 7:56:07 AM"
"12",124172,"3/1/1984 12:00:00 AM","WTI","$US/bbl",30.72,"8/25/2020 7:56:07 AM"
"13",124173,"4/1/1984 12:00:00 AM","WTI","$US/bbl",30.65,"8/25/2020 7:56:07 AM"
"14",124174,"5/1/1984 12:00:00 AM","WTI","$US/bbl",30.55,"8/25/2020 7:56:07 AM"
"15",124175,"6/1/1984 12:00:00 AM","WTI","$US/bbl",29.98,"8/25/2020 7:56:07 AM"
"16",124176,"7/1/1984 12:00:00 AM","WTI","$US/bbl",28.74,"8/25/2020 7:56:07 AM"
"17",124177,"8/1/1984 12:00:00 AM","WTI","$US/bbl",29.33,"8/25/2020 7:56:07 AM"
"18",124178,"9/1/1984 12:00:00 AM","WTI","$US/bbl",29.38,"8/25/2020 7:56:07 AM"
"19",124179,"10/1/1984 12:00:00 AM","WTI","$US/bbl",28.8,"8/25/2020 7:56:07 AM"
"20",124180,"11/1/1984 12:00:00 AM","WTI","$US/bbl",28.11,"8/25/2020 7:56:07 AM"
"21",124181,"12/1/1984 12:00:00 AM","WTI","$US/bbl",26.91,"8/25/2020 7:56:07 AM"
"22",124182,"1/1/1985 12:00:00 AM","WTI","$US/bbl",25.64,"8/25/2020 7:56:07 AM"
"23",124183,"2/1/1985 12:00:00 AM","WTI","$US/bbl",27.14,"8/25/2020 7:56:07 AM"
"24",124184,"3/1/1985 12:00:00 AM","WTI","$US/bbl",28.12,"8/25/2020 7:56:07 AM"
"25",124185,"4/1/1985 12:00:00 AM","WTI","$US/bbl",28.71,"8/25/2020 7:56:07 AM"
"26",124186,"5/1/1985 12:00:00 AM","WTI","$US/bbl",27.58,"8/25/2020 7:56:07 AM"
"27",124187,"6/1/1985 12:00:00 AM","WTI","$US/bbl",27.09,"8/25/2020 7:56:07 AM"
"28",124188,"7/1/1985 12:00:00 AM","WTI","$US/bbl",27.27,"8/25/2020 7:56:07 AM"
"29",124189,"8/1/1985 12:00:00 AM","WTI","$US/bbl",27.74,"8/25/2020 7:56:07 AM"
"30",124190,"9/1/1985 12:00:00 AM","WTI","$US/bbl",28.22,"8/25/2020 7:56:07 AM"
"31",124191,"10/1/1985 12:00:00 AM","WTI","$US/bbl",29.48,"8/25/2020 7:56:07 AM"
"32",124192,"11/1/1985 12:00:00 AM","WTI","$US/bbl",30.73,"8/25/2020 7:56:07 AM"
"33",124193,"12/1/1985 12:00:00 AM","WTI","$US/bbl",27.15,"8/25/2020 7:56:07 AM"
"34",124194,"1/1/1986 12:00:00 AM","WTI","$US/bbl",22.98,"8/25/2020 7:56:07 AM"
"35",124195,"2/1/1986 12:00:00 AM","WTI","$US/bbl",15.46,"8/25/2020 7:56:07 AM"
"36",124196,"3/1/1986 12:00:00 AM","WTI","$US/bbl",12.62,"8/25/2020 7:56:07 AM"
"37",124197,"4/1/1986 12:00:00 AM","WTI","$US/bbl",12.75,"8/25/2020 7:56:07 AM"
"38",124198,"5/1/1986 12:00:00 AM","WTI","$US/bbl",15.26,"8/25/2020 7:56:07 AM"
"39",124199,"6/1/1986 12:00:00 AM","WTI","$US/bbl",13.38,"8/25/2020 7:56:07 AM"
"40",124200,"7/1/1986 12:00:00 AM","WTI","$US/bbl",11.58,"8/25/2020 7:56:07 AM"
"41",124201,"8/1/1986 12:00:00 AM","WTI","$US/bbl",15.11,"8/25/2020 7:56:07 AM"
"42",124202,"9/1/1986 12:00:00 AM","WTI","$US/bbl",14.94,"8/25/2020 7:56:07 AM"
"43",124203,"10/1/1986 12:00:00 AM","WTI","$US/bbl",14.89,"8/25/2020 7:56:07 AM"
"44",124204,"11/1/1986 12:00:00 AM","WTI","$US/bbl",15.23,"8/25/2020 7:56:07 AM"
"45",124205,"12/1/1986 12:00:00 AM","WTI","$US/bbl",16.09,"8/25/2020 7:56:07 AM"
"46",124206,"1/1/1987 12:00:00 AM","WTI","$US/bbl",18.67,"8/25/2020 7:56:07 AM"
"47",124207,"2/1/1987 12:00:00 AM","WTI","$US/bbl",17.73,"8/25/2020 7:56:07 AM"
"48",124208,"3/1/1987 12:00:00 AM","WTI","$US/bbl",18.28,"8/25/2020 7:56:07 AM"
"49",124209,"4/1/1987 12:00:00 AM","WTI","$US/bbl",18.6,"8/25/2020 7:56:07 AM"
"50",124210,"5/1/1987 12:00:00 AM","WTI","$US/bbl",19.33,"8/25/2020 7:56:07 AM"
"51",124211,"6/1/1987 12:00:00 AM","WTI","$US/bbl",19.99,"8/25/2020 7:56:07 AM"
"52",124212,"7/1/1987 12:00:00 AM","WTI","$US/bbl",21.33,"8/25/2020 7:56:07 AM"
"53",124213,"8/1/1987 12:00:00 AM","WTI","$US/bbl",20.23,"8/25/2020 7:56:07 AM"
"54",124214,"9/1/1987 12:00:00 AM","WTI","$US/bbl",19.52,"8/25/2020 7:56:07 AM"
"55",124215,"10/1/1987 12:00:00 AM","WTI","$US/bbl",19.86,"8/25/2020 7:56:07 AM"
"56",124216,"11/1/1987 12:00:00 AM","WTI","$US/bbl",18.85,"8/25/2020 7:56:07 AM"
"57",124217,"12/1/1987 12:00:00 AM","WTI","$US/bbl",17.26,"8/25/2020 7:56:07 AM"
"58",124218,"1/1/1988 12:00:00 AM","WTI","$US/bbl",17.15,"8/25/2020 7:56:07 AM"
"59",124219,"2/1/1988 12:00:00 AM","WTI","$US/bbl",16.76,"8/25/2020 7:56:07 AM"
"60",124220,"3/1/1988 12:00:00 AM","WTI","$US/bbl",16.21,"8/25/2020 7:56:07 AM"
"61",124221,"4/1/1988 12:00:00 AM","WTI","$US/bbl",17.88,"8/25/2020 7:56:07 AM"
"62",124222,"5/1/1988 12:00:00 AM","WTI","$US/bbl",17.45,"8/25/2020 7:56:07 AM"
"63",124223,"6/1/1988 12:00:00 AM","WTI","$US/bbl",16.56,"8/25/2020 7:56:07 AM"
"64",124224,"7/1/1988 12:00:00 AM","WTI","$US/bbl",15.51,"8/25/2020 7:56:07 AM"
"65",124225,"8/1/1988 12:00:00 AM","WTI","$US/bbl",15.53,"8/25/2020 7:56:07 AM"
"66",124226,"9/1/1988 12:00:00 AM","WTI","$US/bbl",14.46,"8/25/2020 7:56:07 AM"
"67",124227,"10/1/1988 12:00:00 AM","WTI","$US/bbl",13.8,"8/25/2020 7:56:07 AM"
"68",124228,"11/1/1988 12:00:00 AM","WTI","$US/bbl",13.98,"8/25/2020 7:56:07 AM"
"69",124229,"12/1/1988 12:00:00 AM","WTI","$US/bbl",16.28,"8/25/2020 7:56:07 AM"
"70",124230,"1/1/1989 12:00:00 AM","WTI","$US/bbl",17.98,"8/25/2020 7:56:07 AM"
"71",124231,"2/1/1989 12:00:00 AM","WTI","$US/bbl",17.82,"8/25/2020 7:56:07 AM"
"72",124232,"3/1/1989 12:00:00 AM","WTI","$US/bbl",19.44,"8/25/2020 7:56:07 AM"
"73",124233,"4/1/1989 12:00:00 AM","WTI","$US/bbl",20.94,"8/25/2020 7:56:07 AM"
"74",124234,"5/1/1989 12:00:00 AM","WTI","$US/bbl",20.03,"8/25/2020 7:56:07 AM"
"75",124235,"6/1/1989 12:00:00 AM","WTI","$US/bbl",19.99,"8/25/2020 7:56:07 AM"
"76",124236,"7/1/1989 12:00:00 AM","WTI","$US/bbl",19.66,"8/25/2020 7:56:07 AM"
"77",124237,"8/1/1989 12:00:00 AM","WTI","$US/bbl",18.55,"8/25/2020 7:56:07 AM"
"78",124238,"9/1/1989 12:00:00 AM","WTI","$US/bbl",19.59,"8/25/2020 7:56:07 AM"
"79",124239,"10/1/1989 12:00:00 AM","WTI","$US/bbl",20.1,"8/25/2020 7:56:07 AM"
"80",124240,"11/1/1989 12:00:00 AM","WTI","$US/bbl",19.83,"8/25/2020 7:56:07 AM"
"81",124241,"12/1/1989 12:00:00 AM","WTI","$US/bbl",21.09,"8/25/2020 7:56:07 AM"
"82",124242,"1/1/1990 12:00:00 AM","WTI","$US/bbl",22.64,"8/25/2020 7:56:07 AM"
"83",124243,"2/1/1990 12:00:00 AM","WTI","$US/bbl",22.11,"8/25/2020 7:56:07 AM"
"84",124244,"3/1/1990 12:00:00 AM","WTI","$US/bbl",20.41,"8/25/2020 7:56:07 AM"
"85",124245,"4/1/1990 12:00:00 AM","WTI","$US/bbl",18.58,"8/25/2020 7:56:07 AM"
"86",124246,"5/1/1990 12:00:00 AM","WTI","$US/bbl",18.46,"8/25/2020 7:56:07 AM"
"87",124247,"6/1/1990 12:00:00 AM","WTI","$US/bbl",16.86,"8/25/2020 7:56:07 AM"
"88",124248,"7/1/1990 12:00:00 AM","WTI","$US/bbl",18.64,"8/25/2020 7:56:07 AM"
"89",124249,"8/1/1990 12:00:00 AM","WTI","$US/bbl",27.18,"8/25/2020 7:56:07 AM"
"90",124250,"9/1/1990 12:00:00 AM","WTI","$US/bbl",33.69,"8/25/2020 7:56:07 AM"
"91",124251,"10/1/1990 12:00:00 AM","WTI","$US/bbl",35.92,"8/25/2020 7:56:07 AM"
"92",124252,"11/1/1990 12:00:00 AM","WTI","$US/bbl",32.3,"8/25/2020 7:56:07 AM"
"93",124253,"12/1/1990 12:00:00 AM","WTI","$US/bbl",27.16,"8/25/2020 7:56:07 AM"
"94",124254,"1/1/1991 12:00:00 AM","WTI","$US/bbl",24.7,"8/25/2020 7:56:07 AM"
"95",124255,"2/1/1991 12:00:00 AM","WTI","$US/bbl",20.54,"8/25/2020 7:56:07 AM"
"96",124256,"3/1/1991 12:00:00 AM","WTI","$US/bbl",19.88,"8/25/2020 7:56:07 AM"
"97",124257,"4/1/1991 12:00:00 AM","WTI","$US/bbl",20.82,"8/25/2020 7:56:07 AM"
"98",124258,"5/1/1991 12:00:00 AM","WTI","$US/bbl",21.25,"8/25/2020 7:56:07 AM"
"99",124259,"6/1/1991 12:00:00 AM","WTI","$US/bbl",20.2,"8/25/2020 7:56:07 AM"
"100",124260,"7/1/1991 12:00:00 AM","WTI","$US/bbl",21.43,"8/25/2020 7:56:07 AM"
"101",124261,"8/1/1991 12:00:00 AM","WTI","$US/bbl",21.68,"8/25/2020 7:56:07 AM"
"102",124262,"9/1/1991 12:00:00 AM","WTI","$US/bbl",21.86,"8/25/2020 7:56:07 AM"
"103",124263,"10/1/1991 12:00:00 AM","WTI","$US/bbl",23.23,"8/25/2020 7:56:07 AM"
"104",124264,"11/1/1991 12:00:00 AM","WTI","$US/bbl",22.43,"8/25/2020 7:56:07 AM"
"105",124265,"12/1/1991 12:00:00 AM","WTI","$US/bbl",19.53,"8/25/2020 7:56:07 AM"
"106",124266,"1/1/1992 12:00:00 AM","WTI","$US/bbl",18.82,"8/25/2020 7:56:07 AM"
"107",124267,"2/1/1992 12:00:00 AM","WTI","$US/bbl",19.01,"8/25/2020 7:56:07 AM"
"108",124268,"3/1/1992 12:00:00 AM","WTI","$US/bbl",18.95,"8/25/2020 7:56:07 AM"
"109",124269,"4/1/1992 12:00:00 AM","WTI","$US/bbl",20.26,"8/25/2020 7:56:07 AM"
"110",124270,"5/1/1992 12:00:00 AM","WTI","$US/bbl",21,"8/25/2020 7:56:07 AM"
"111",124271,"6/1/1992 12:00:00 AM","WTI","$US/bbl",22.36,"8/25/2020 7:56:07 AM"
"112",124272,"7/1/1992 12:00:00 AM","WTI","$US/bbl",21.74,"8/25/2020 7:56:07 AM"
"113",124273,"8/1/1992 12:00:00 AM","WTI","$US/bbl",21.29,"8/25/2020 7:56:07 AM"
"114",124274,"9/1/1992 12:00:00 AM","WTI","$US/bbl",21.92,"8/25/2020 7:56:07 AM"
"115",124275,"10/1/1992 12:00:00 AM","WTI","$US/bbl",21.71,"8/25/2020 7:56:07 AM"
"116",124276,"11/1/1992 12:00:00 AM","WTI","$US/bbl",20.36,"8/25/2020 7:56:07 AM"
"117",124277,"12/1/1992 12:00:00 AM","WTI","$US/bbl",19.41,"8/25/2020 7:56:07 AM"
"118",124278,"1/1/1993 12:00:00 AM","WTI","$US/bbl",19.07,"8/25/2020 7:56:07 AM"
"119",124279,"2/1/1993 12:00:00 AM","WTI","$US/bbl",20.08,"8/25/2020 7:56:07 AM"
"120",124280,"3/1/1993 12:00:00 AM","WTI","$US/bbl",20.35,"8/25/2020 7:56:07 AM"
"121",124281,"4/1/1993 12:00:00 AM","WTI","$US/bbl",20.33,"8/25/2020 7:56:07 AM"
"122",124282,"5/1/1993 12:00:00 AM","WTI","$US/bbl",19.98,"8/25/2020 7:56:07 AM"
"123",124283,"6/1/1993 12:00:00 AM","WTI","$US/bbl",19.13,"8/25/2020 7:56:07 AM"
"124",124284,"7/1/1993 12:00:00 AM","WTI","$US/bbl",17.9,"8/25/2020 7:56:07 AM"
"125",124285,"8/1/1993 12:00:00 AM","WTI","$US/bbl",18.01,"8/25/2020 7:56:07 AM"
"126",124286,"9/1/1993 12:00:00 AM","WTI","$US/bbl",17.52,"8/25/2020 7:56:07 AM"
"127",124287,"10/1/1993 12:00:00 AM","WTI","$US/bbl",18.17,"8/25/2020 7:56:07 AM"
"128",124288,"11/1/1993 12:00:00 AM","WTI","$US/bbl",16.74,"8/25/2020 7:56:07 AM"
"129",124289,"12/1/1993 12:00:00 AM","WTI","$US/bbl",14.53,"8/25/2020 7:56:07 AM"
