"","Id","When","Type","Alberta","ModifiedDate"
"1",49589,"1/1/2007 12:00:00 AM","Non-Conventional Oil",5604533.2,"8/21/2020 1:25:18 PM"
"2",49590,"1/1/2007 12:00:00 AM","Natural Gas",11802035900,"8/21/2020 1:25:18 PM"
"3",49591,"1/1/2007 12:00:00 AM","Conventional Oil",2707743.4,"8/21/2020 1:25:18 PM"
"4",49592,"2/1/2007 12:00:00 AM","Conventional Oil",2450594.2,"8/21/2020 1:25:18 PM"
"5",49593,"2/1/2007 12:00:00 AM","Non-Conventional Oil",5414892.8,"8/21/2020 1:25:18 PM"
"6",49594,"2/1/2007 12:00:00 AM","Natural Gas",10625649100,"8/21/2020 1:25:18 PM"
"7",49595,"3/1/2007 12:00:00 AM","Non-Conventional Oil",6082110.5,"8/21/2020 1:25:18 PM"
"8",49596,"3/1/2007 12:00:00 AM","Natural Gas",11857260000,"8/21/2020 1:25:18 PM"
"9",49597,"3/1/2007 12:00:00 AM","Conventional Oil",2703836.8,"8/21/2020 1:25:18 PM"
"10",49598,"4/1/2007 12:00:00 AM","Non-Conventional Oil",5463210.8,"8/21/2020 1:25:18 PM"
"11",49599,"4/1/2007 12:00:00 AM","Natural Gas",11494242300,"8/21/2020 1:25:18 PM"
"12",49600,"4/1/2007 12:00:00 AM","Conventional Oil",2567241.4,"8/21/2020 1:25:18 PM"
"13",49601,"5/1/2007 12:00:00 AM","Non-Conventional Oil",5460600.2,"8/21/2020 1:25:18 PM"
"14",49602,"5/1/2007 12:00:00 AM","Natural Gas",11691035100,"8/21/2020 1:25:18 PM"
"15",49603,"5/1/2007 12:00:00 AM","Conventional Oil",2614545.2,"8/21/2020 1:25:18 PM"
"16",49604,"6/1/2007 12:00:00 AM","Conventional Oil",2493203.4,"8/21/2020 1:25:18 PM"
"17",49605,"6/1/2007 12:00:00 AM","Non-Conventional Oil",5116667.3,"8/21/2020 1:25:18 PM"
"18",49606,"6/1/2007 12:00:00 AM","Natural Gas",10969959700,"8/21/2020 1:25:18 PM"
"19",49607,"7/1/2007 12:00:00 AM","Non-Conventional Oil",5897322.8,"8/21/2020 1:25:18 PM"
"20",49608,"7/1/2007 12:00:00 AM","Natural Gas",11288091400,"8/21/2020 1:25:18 PM"
"21",49609,"7/1/2007 12:00:00 AM","Conventional Oil",2587857.9,"8/21/2020 1:25:18 PM"
"22",49610,"8/1/2007 12:00:00 AM","Natural Gas",11454413900,"8/21/2020 1:25:18 PM"
"23",49611,"8/1/2007 12:00:00 AM","Conventional Oil",2625063.6,"8/21/2020 1:25:18 PM"
"24",49612,"8/1/2007 12:00:00 AM","Non-Conventional Oil",6563190.2,"8/21/2020 1:25:18 PM"
"25",49613,"9/1/2007 12:00:00 AM","Natural Gas",10837386100,"8/21/2020 1:25:18 PM"
"26",49614,"9/1/2007 12:00:00 AM","Conventional Oil",2542775.1,"8/21/2020 1:25:18 PM"
"27",49615,"9/1/2007 12:00:00 AM","Non-Conventional Oil",5958279.5,"8/21/2020 1:25:18 PM"
"28",49616,"10/1/2007 12:00:00 AM","Conventional Oil",2660162.3,"8/21/2020 1:25:18 PM"
"29",49617,"10/1/2007 12:00:00 AM","Natural Gas",11329483100,"8/21/2020 1:25:18 PM"
"30",49618,"10/1/2007 12:00:00 AM","Non-Conventional Oil",6261577.2,"8/21/2020 1:25:18 PM"
"31",49619,"11/1/2007 12:00:00 AM","Natural Gas",10838370800,"8/21/2020 1:25:18 PM"
"32",49620,"11/1/2007 12:00:00 AM","Non-Conventional Oil",5899203.4,"8/21/2020 1:25:18 PM"
"33",49621,"11/1/2007 12:00:00 AM","Conventional Oil",2582593.5,"8/21/2020 1:25:18 PM"
"34",49622,"12/1/2007 12:00:00 AM","Non-Conventional Oil",5368131.5,"8/21/2020 1:25:18 PM"
"35",49623,"12/1/2007 12:00:00 AM","Natural Gas",11183664700,"8/21/2020 1:25:18 PM"
"36",49624,"12/1/2007 12:00:00 AM","Conventional Oil",2653020.4,"8/21/2020 1:25:18 PM"
"37",49625,"1/1/2008 12:00:00 AM","Conventional Oil",2589269.4,"8/21/2020 1:25:18 PM"
"38",49626,"1/1/2008 12:00:00 AM","Natural Gas",10980935700,"8/21/2020 1:25:18 PM"
"39",49627,"1/1/2008 12:00:00 AM","Non-Conventional Oil",5891070,"8/21/2020 1:25:18 PM"
"40",49628,"2/1/2008 12:00:00 AM","Non-Conventional Oil",5334417.3,"8/21/2020 1:25:18 PM"
"41",49629,"2/1/2008 12:00:00 AM","Conventional Oil",2424163.9,"8/21/2020 1:25:18 PM"
"42",49630,"2/1/2008 12:00:00 AM","Natural Gas",10147513800,"8/21/2020 1:25:18 PM"
"43",49631,"3/1/2008 12:00:00 AM","Conventional Oil",2668296.6,"8/21/2020 1:25:18 PM"
"44",49632,"3/1/2008 12:00:00 AM","Natural Gas",11150199500,"8/21/2020 1:25:18 PM"
"45",49633,"3/1/2008 12:00:00 AM","Non-Conventional Oil",5844382.4,"8/21/2020 1:25:18 PM"
"46",49634,"4/1/2008 12:00:00 AM","Natural Gas",10919866200,"8/21/2020 1:25:18 PM"
"47",49635,"4/1/2008 12:00:00 AM","Conventional Oil",2539888.3,"8/21/2020 1:25:18 PM"
"48",49636,"4/1/2008 12:00:00 AM","Non-Conventional Oil",5363264,"8/21/2020 1:25:18 PM"
"49",49637,"5/1/2008 12:00:00 AM","Conventional Oil",2530247.2,"8/21/2020 1:25:18 PM"
"50",49638,"5/1/2008 12:00:00 AM","Non-Conventional Oil",5187830.4,"8/21/2020 1:25:18 PM"
"51",49639,"5/1/2008 12:00:00 AM","Natural Gas",10995861300,"8/21/2020 1:25:18 PM"
"52",49640,"6/1/2008 12:00:00 AM","Conventional Oil",2378587.6,"8/21/2020 1:25:18 PM"
"53",49641,"6/1/2008 12:00:00 AM","Non-Conventional Oil",5613894.4,"8/21/2020 1:25:18 PM"
"54",49642,"6/1/2008 12:00:00 AM","Natural Gas",10390330200,"8/21/2020 1:25:18 PM"
"55",49643,"7/1/2008 12:00:00 AM","Natural Gas",10952690100,"8/21/2020 1:25:18 PM"
"56",49644,"7/1/2008 12:00:00 AM","Conventional Oil",2526018.2,"8/21/2020 1:25:18 PM"
"57",49645,"7/1/2008 12:00:00 AM","Non-Conventional Oil",6236885.7,"8/21/2020 1:25:18 PM"
"58",49646,"8/1/2008 12:00:00 AM","Non-Conventional Oil",6355391.7,"8/21/2020 1:25:18 PM"
"59",49647,"8/1/2008 12:00:00 AM","Natural Gas",10860352600,"8/21/2020 1:25:18 PM"
"60",49648,"8/1/2008 12:00:00 AM","Conventional Oil",2538445.1,"8/21/2020 1:25:18 PM"
"61",49649,"9/1/2008 12:00:00 AM","Conventional Oil",2458040.1,"8/21/2020 1:25:18 PM"
"62",49650,"9/1/2008 12:00:00 AM","Natural Gas",10401685700,"8/21/2020 1:25:18 PM"
"63",49651,"9/1/2008 12:00:00 AM","Non-Conventional Oil",5779555.8,"8/21/2020 1:25:18 PM"
"64",49652,"10/1/2008 12:00:00 AM","Natural Gas",10722789700,"8/21/2020 1:25:18 PM"
"65",49653,"10/1/2008 12:00:00 AM","Conventional Oil",2555471.9,"8/21/2020 1:25:18 PM"
"66",49654,"10/1/2008 12:00:00 AM","Non-Conventional Oil",6021170.7,"8/21/2020 1:25:18 PM"
"67",49655,"11/1/2008 12:00:00 AM","Conventional Oil",2463236.5,"8/21/2020 1:25:18 PM"
"68",49656,"11/1/2008 12:00:00 AM","Non-Conventional Oil",6144194.3,"8/21/2020 1:25:18 PM"
"69",49657,"11/1/2008 12:00:00 AM","Natural Gas",10375347200,"8/21/2020 1:25:18 PM"
"70",49658,"12/1/2008 12:00:00 AM","Natural Gas",10337836500,"8/21/2020 1:25:18 PM"
"71",49659,"12/1/2008 12:00:00 AM","Conventional Oil",2462488.3,"8/21/2020 1:25:18 PM"
