"","Id","When","Type","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"1",41209,"1/1/1946 12:00:00 AM","NetInternationalMigration",1044,1278,12738,722,520,NA,701,5319,73,2305,765,"6/18/2020 8:36:01 AM"
"2",41210,"4/1/1946 12:00:00 AM","NetInternationalMigration",1718,2511,21176,1390,1029,NA,1293,9006,194,2567,1461,"6/18/2020 8:36:01 AM"
"3",41211,"7/1/1946 12:00:00 AM","NetInternationalMigration",2095,2925,25078,1738,1260,NA,1697,10151,222,3167,1813,"6/18/2020 8:36:01 AM"
"4",41212,"10/1/1946 12:00:00 AM","NetInternationalMigration",914,1905,12727,765,656,NA,913,5128,97,1673,672,"6/18/2020 8:36:01 AM"
"5",41213,"1/1/1947 12:00:00 AM","NetInternationalMigration",569,1368,8009,384,237,NA,413,3544,44,1153,295,"6/18/2020 8:36:01 AM"
"6",41214,"4/1/1947 12:00:00 AM","NetInternationalMigration",875,2066,13404,571,321,NA,570,6524,60,1850,553,"6/18/2020 8:36:01 AM"
"7",41215,"7/1/1947 12:00:00 AM","NetInternationalMigration",812,2333,18624,642,373,NA,707,11042,64,2104,534,"6/18/2020 8:36:01 AM"
"8",41216,"10/1/1947 12:00:00 AM","NetInternationalMigration",1005,2832,24090,1150,317,NA,604,14433,55,3165,519,"6/18/2020 8:36:01 AM"
"9",41217,"1/1/1948 12:00:00 AM","NetInternationalMigration",1233,2668,23076,1095,295,NA,456,11504,27,5126,644,"6/18/2020 8:36:01 AM"
"10",41218,"4/1/1948 12:00:00 AM","NetInternationalMigration",3363,3330,34199,2154,396,NA,652,17594,66,5330,1289,"6/18/2020 8:36:01 AM"
"11",41219,"7/1/1948 12:00:00 AM","NetInternationalMigration",2761,2910,33932,2047,379,NA,779,16433,108,6856,1643,"6/18/2020 8:36:01 AM"
"12",41220,"10/1/1948 12:00:00 AM","NetInternationalMigration",2358,3010,34207,2454,406,NA,926,16090,68,7375,1511,"6/18/2020 8:36:01 AM"
"13",41221,"1/1/1949 12:00:00 AM","NetInternationalMigration",2037,1766,23265,1266,181,NA,416,12422,40,4184,929,"6/18/2020 8:36:01 AM"
"14",41222,"4/1/1949 12:00:00 AM","NetInternationalMigration",2999,2472,30243,2033,249,50,474,15310,89,5419,1139,"6/18/2020 8:36:01 AM"
"15",41223,"7/1/1949 12:00:00 AM","NetInternationalMigration",1908,1917,22641,1228,191,43,374,11240,67,4844,815,"6/18/2020 8:36:01 AM"
"16",41224,"10/1/1949 12:00:00 AM","NetInternationalMigration",1575,1719,19068,1194,161,36,362,9635,44,3558,781,"6/18/2020 8:36:01 AM"
"17",41225,"1/1/1950 12:00:00 AM","NetInternationalMigration",1091,1181,14470,888,80,26,240,7731,41,2618,566,"6/18/2020 8:36:01 AM"
"18",41226,"4/1/1950 12:00:00 AM","NetInternationalMigration",2734,1701,22816,1239,226,54,398,11719,52,3718,967,"6/18/2020 8:36:01 AM"
"19",41227,"7/1/1950 12:00:00 AM","NetInternationalMigration",1302,1577,16964,707,174,57,277,8815,44,3335,670,"6/18/2020 8:36:01 AM"
"20",41228,"10/1/1950 12:00:00 AM","NetInternationalMigration",1297,1632,19662,820,183,67,252,10776,27,3904,694,"6/18/2020 8:36:01 AM"
"21",41229,"1/1/1951 12:00:00 AM","NetInternationalMigration",1846,1976,25914,1058,241,66,340,14710,24,4905,747,"6/18/2020 8:36:01 AM"
"22",41230,"4/1/1951 12:00:00 AM","NetInternationalMigration",4584,3673,53871,2642,398,47,551,30372,90,10299,1206,"6/18/2020 8:36:01 AM"
"23",41231,"7/1/1951 12:00:00 AM","NetInternationalMigration",1790,2457,36463,1657,20,-163,-10,22382,-24,8129,240,"6/18/2020 8:36:01 AM"
"24",41232,"10/1/1951 12:00:00 AM","NetInternationalMigration",2303,3201,50869,2369,10,-117,170,28217,-59,14318,475,"6/18/2020 8:36:01 AM"
"25",41233,"1/1/1952 12:00:00 AM","NetInternationalMigration",1747,1924,29106,1093,-161,-141,174,18568,-26,5798,150,"6/18/2020 8:36:01 AM"
"26",41234,"4/1/1952 12:00:00 AM","NetInternationalMigration",3820,3472,40629,1661,-166,-124,431,24482,25,6692,351,"6/18/2020 8:36:01 AM"
"27",41235,"7/1/1952 12:00:00 AM","NetInternationalMigration",2265,2297,20676,855,-350,-290,-198,13187,-29,2713,230,"6/18/2020 8:36:01 AM"
"28",41236,"10/1/1952 12:00:00 AM","NetInternationalMigration",1255,1563,13528,93,-378,-280,-265,10150,-80,1703,-217,"6/18/2020 8:36:01 AM"
"29",41237,"1/1/1953 12:00:00 AM","NetInternationalMigration",1456,1133,10387,249,-78,-224,-66,7995,-28,88,-20,"6/18/2020 8:36:01 AM"
"30",41238,"4/1/1953 12:00:00 AM","NetInternationalMigration",5326,3170,42306,2049,-189,-209,228,24551,42,6919,428,"6/18/2020 8:36:01 AM"
"31",41239,"7/1/1953 12:00:00 AM","NetInternationalMigration",2968,2381,30610,1819,-407,-277,-249,18639,-75,5712,93,"6/18/2020 8:36:01 AM"
