"","Id","When","Type","Unit","Alberta","ModifiedDate"
"1",138641,"4/1/1983 12:00:00 AM","WTI","$US/bbl",30.5,"8/25/2020 7:56:57 AM"
"2",138642,"5/1/1983 12:00:00 AM","WTI","$US/bbl",30.16,"8/25/2020 7:56:57 AM"
"3",138643,"6/1/1983 12:00:00 AM","WTI","$US/bbl",30.96,"8/25/2020 7:56:57 AM"
"4",138644,"7/1/1983 12:00:00 AM","WTI","$US/bbl",31.59,"8/25/2020 7:56:57 AM"
"5",138645,"8/1/1983 12:00:00 AM","WTI","$US/bbl",31.88,"8/25/2020 7:56:57 AM"
"6",138646,"9/1/1983 12:00:00 AM","WTI","$US/bbl",31.24,"8/25/2020 7:56:57 AM"
"7",138647,"10/1/1983 12:00:00 AM","WTI","$US/bbl",30.4,"8/25/2020 7:56:57 AM"
"8",138648,"11/1/1983 12:00:00 AM","WTI","$US/bbl",29.86,"8/25/2020 7:56:57 AM"
"9",138649,"12/1/1983 12:00:00 AM","WTI","$US/bbl",29.24,"8/25/2020 7:56:57 AM"
"10",138650,"1/1/1984 12:00:00 AM","WTI","$US/bbl",29.65,"8/25/2020 7:56:57 AM"
"11",138651,"2/1/1984 12:00:00 AM","WTI","$US/bbl",30.05,"8/25/2020 7:56:57 AM"
"12",138652,"3/1/1984 12:00:00 AM","WTI","$US/bbl",30.72,"8/25/2020 7:56:57 AM"
"13",138653,"4/1/1984 12:00:00 AM","WTI","$US/bbl",30.65,"8/25/2020 7:56:57 AM"
"14",138654,"5/1/1984 12:00:00 AM","WTI","$US/bbl",30.55,"8/25/2020 7:56:57 AM"
"15",138655,"6/1/1984 12:00:00 AM","WTI","$US/bbl",29.98,"8/25/2020 7:56:57 AM"
"16",138656,"7/1/1984 12:00:00 AM","WTI","$US/bbl",28.74,"8/25/2020 7:56:57 AM"
"17",138657,"8/1/1984 12:00:00 AM","WTI","$US/bbl",29.33,"8/25/2020 7:56:57 AM"
"18",138658,"9/1/1984 12:00:00 AM","WTI","$US/bbl",29.38,"8/25/2020 7:56:57 AM"
"19",138659,"10/1/1984 12:00:00 AM","WTI","$US/bbl",28.8,"8/25/2020 7:56:57 AM"
"20",138660,"11/1/1984 12:00:00 AM","WTI","$US/bbl",28.11,"8/25/2020 7:56:57 AM"
"21",138661,"12/1/1984 12:00:00 AM","WTI","$US/bbl",26.91,"8/25/2020 7:56:57 AM"
"22",138662,"1/1/1985 12:00:00 AM","WTI","$US/bbl",25.64,"8/25/2020 7:56:57 AM"
"23",138663,"2/1/1985 12:00:00 AM","WTI","$US/bbl",27.14,"8/25/2020 7:56:57 AM"
"24",138664,"3/1/1985 12:00:00 AM","WTI","$US/bbl",28.12,"8/25/2020 7:56:57 AM"
"25",138665,"4/1/1985 12:00:00 AM","WTI","$US/bbl",28.71,"8/25/2020 7:56:57 AM"
"26",138666,"5/1/1985 12:00:00 AM","WTI","$US/bbl",27.58,"8/25/2020 7:56:57 AM"
"27",138667,"6/1/1985 12:00:00 AM","WTI","$US/bbl",27.09,"8/25/2020 7:56:57 AM"
"28",138668,"7/1/1985 12:00:00 AM","WTI","$US/bbl",27.27,"8/25/2020 7:56:57 AM"
"29",138669,"8/1/1985 12:00:00 AM","WTI","$US/bbl",27.74,"8/25/2020 7:56:57 AM"
"30",138670,"9/1/1985 12:00:00 AM","WTI","$US/bbl",28.22,"8/25/2020 7:56:57 AM"
"31",138671,"10/1/1985 12:00:00 AM","WTI","$US/bbl",29.48,"8/25/2020 7:56:57 AM"
"32",138672,"11/1/1985 12:00:00 AM","WTI","$US/bbl",30.73,"8/25/2020 7:56:57 AM"
"33",138673,"12/1/1985 12:00:00 AM","WTI","$US/bbl",27.15,"8/25/2020 7:56:57 AM"
"34",138674,"1/1/1986 12:00:00 AM","WTI","$US/bbl",22.98,"8/25/2020 7:56:57 AM"
"35",138675,"2/1/1986 12:00:00 AM","WTI","$US/bbl",15.46,"8/25/2020 7:56:57 AM"
"36",138676,"3/1/1986 12:00:00 AM","WTI","$US/bbl",12.62,"8/25/2020 7:56:57 AM"
"37",138677,"4/1/1986 12:00:00 AM","WTI","$US/bbl",12.75,"8/25/2020 7:56:57 AM"
"38",138678,"5/1/1986 12:00:00 AM","WTI","$US/bbl",15.26,"8/25/2020 7:56:57 AM"
"39",138679,"6/1/1986 12:00:00 AM","WTI","$US/bbl",13.38,"8/25/2020 7:56:57 AM"
"40",138680,"7/1/1986 12:00:00 AM","WTI","$US/bbl",11.58,"8/25/2020 7:56:57 AM"
"41",138681,"8/1/1986 12:00:00 AM","WTI","$US/bbl",15.11,"8/25/2020 7:56:57 AM"
"42",138682,"9/1/1986 12:00:00 AM","WTI","$US/bbl",14.94,"8/25/2020 7:56:57 AM"
"43",138683,"10/1/1986 12:00:00 AM","WTI","$US/bbl",14.89,"8/25/2020 7:56:57 AM"
"44",138684,"11/1/1986 12:00:00 AM","WTI","$US/bbl",15.23,"8/25/2020 7:56:57 AM"
"45",138685,"12/1/1986 12:00:00 AM","WTI","$US/bbl",16.09,"8/25/2020 7:56:57 AM"
"46",138686,"1/1/1987 12:00:00 AM","WTI","$US/bbl",18.67,"8/25/2020 7:56:57 AM"
"47",138687,"2/1/1987 12:00:00 AM","WTI","$US/bbl",17.73,"8/25/2020 7:56:57 AM"
"48",138688,"3/1/1987 12:00:00 AM","WTI","$US/bbl",18.28,"8/25/2020 7:56:57 AM"
"49",138689,"4/1/1987 12:00:00 AM","WTI","$US/bbl",18.6,"8/25/2020 7:56:57 AM"
"50",138690,"5/1/1987 12:00:00 AM","WTI","$US/bbl",19.33,"8/25/2020 7:56:57 AM"
"51",138691,"6/1/1987 12:00:00 AM","WTI","$US/bbl",19.99,"8/25/2020 7:56:57 AM"
"52",138692,"7/1/1987 12:00:00 AM","WTI","$US/bbl",21.33,"8/25/2020 7:56:57 AM"
"53",138693,"8/1/1987 12:00:00 AM","WTI","$US/bbl",20.23,"8/25/2020 7:56:57 AM"
"54",138694,"9/1/1987 12:00:00 AM","WTI","$US/bbl",19.52,"8/25/2020 7:56:57 AM"
"55",138695,"10/1/1987 12:00:00 AM","WTI","$US/bbl",19.86,"8/25/2020 7:56:57 AM"
"56",138696,"11/1/1987 12:00:00 AM","WTI","$US/bbl",18.85,"8/25/2020 7:56:57 AM"
"57",138697,"12/1/1987 12:00:00 AM","WTI","$US/bbl",17.26,"8/25/2020 7:56:57 AM"
"58",138698,"1/1/1988 12:00:00 AM","WTI","$US/bbl",17.15,"8/25/2020 7:56:57 AM"
"59",138699,"2/1/1988 12:00:00 AM","WTI","$US/bbl",16.76,"8/25/2020 7:56:57 AM"
"60",138700,"3/1/1988 12:00:00 AM","WTI","$US/bbl",16.21,"8/25/2020 7:56:57 AM"
"61",138701,"4/1/1988 12:00:00 AM","WTI","$US/bbl",17.88,"8/25/2020 7:56:57 AM"
"62",138702,"5/1/1988 12:00:00 AM","WTI","$US/bbl",17.45,"8/25/2020 7:56:57 AM"
"63",138703,"6/1/1988 12:00:00 AM","WTI","$US/bbl",16.56,"8/25/2020 7:56:57 AM"
"64",138704,"7/1/1988 12:00:00 AM","WTI","$US/bbl",15.51,"8/25/2020 7:56:57 AM"
"65",138705,"8/1/1988 12:00:00 AM","WTI","$US/bbl",15.53,"8/25/2020 7:56:57 AM"
"66",138706,"9/1/1988 12:00:00 AM","WTI","$US/bbl",14.46,"8/25/2020 7:56:57 AM"
"67",138707,"10/1/1988 12:00:00 AM","WTI","$US/bbl",13.8,"8/25/2020 7:56:57 AM"
"68",138708,"11/1/1988 12:00:00 AM","WTI","$US/bbl",13.98,"8/25/2020 7:56:57 AM"
"69",138709,"12/1/1988 12:00:00 AM","WTI","$US/bbl",16.28,"8/25/2020 7:56:57 AM"
"70",138710,"1/1/1989 12:00:00 AM","WTI","$US/bbl",17.98,"8/25/2020 7:56:57 AM"
"71",138711,"2/1/1989 12:00:00 AM","WTI","$US/bbl",17.82,"8/25/2020 7:56:57 AM"
"72",138712,"3/1/1989 12:00:00 AM","WTI","$US/bbl",19.44,"8/25/2020 7:56:57 AM"
"73",138713,"4/1/1989 12:00:00 AM","WTI","$US/bbl",20.94,"8/25/2020 7:56:57 AM"
"74",138714,"5/1/1989 12:00:00 AM","WTI","$US/bbl",20.03,"8/25/2020 7:56:57 AM"
"75",138715,"6/1/1989 12:00:00 AM","WTI","$US/bbl",19.99,"8/25/2020 7:56:57 AM"
"76",138716,"7/1/1989 12:00:00 AM","WTI","$US/bbl",19.66,"8/25/2020 7:56:57 AM"
"77",138717,"8/1/1989 12:00:00 AM","WTI","$US/bbl",18.55,"8/25/2020 7:56:57 AM"
"78",138718,"9/1/1989 12:00:00 AM","WTI","$US/bbl",19.59,"8/25/2020 7:56:57 AM"
"79",138719,"10/1/1989 12:00:00 AM","WTI","$US/bbl",20.1,"8/25/2020 7:56:57 AM"
"80",138720,"11/1/1989 12:00:00 AM","WTI","$US/bbl",19.83,"8/25/2020 7:56:57 AM"
"81",138721,"12/1/1989 12:00:00 AM","WTI","$US/bbl",21.09,"8/25/2020 7:56:57 AM"
"82",138722,"1/1/1990 12:00:00 AM","WTI","$US/bbl",22.64,"8/25/2020 7:56:57 AM"
"83",138723,"2/1/1990 12:00:00 AM","WTI","$US/bbl",22.11,"8/25/2020 7:56:57 AM"
"84",138724,"3/1/1990 12:00:00 AM","WTI","$US/bbl",20.41,"8/25/2020 7:56:57 AM"
"85",138725,"4/1/1990 12:00:00 AM","WTI","$US/bbl",18.58,"8/25/2020 7:56:57 AM"
"86",138726,"5/1/1990 12:00:00 AM","WTI","$US/bbl",18.46,"8/25/2020 7:56:57 AM"
"87",138727,"6/1/1990 12:00:00 AM","WTI","$US/bbl",16.86,"8/25/2020 7:56:57 AM"
