"","Id","When","Type","Alberta","ModifiedDate"
"1",75250,"1/1/2007 12:00:00 AM","Non-Conventional Oil",5604533.2,"8/21/2020 1:23:15 PM"
"2",75251,"1/1/2007 12:00:00 AM","Natural Gas",11802035900,"8/21/2020 1:23:15 PM"
"3",75252,"1/1/2007 12:00:00 AM","Conventional Oil",2707743.4,"8/21/2020 1:23:15 PM"
"4",75253,"2/1/2007 12:00:00 AM","Conventional Oil",2450594.2,"8/21/2020 1:23:15 PM"
"5",75254,"2/1/2007 12:00:00 AM","Non-Conventional Oil",5414892.8,"8/21/2020 1:23:15 PM"
"6",75255,"2/1/2007 12:00:00 AM","Natural Gas",10625649100,"8/21/2020 1:23:15 PM"
"7",75256,"3/1/2007 12:00:00 AM","Non-Conventional Oil",6082110.5,"8/21/2020 1:23:15 PM"
"8",75257,"3/1/2007 12:00:00 AM","Natural Gas",11857260000,"8/21/2020 1:23:15 PM"
"9",75258,"3/1/2007 12:00:00 AM","Conventional Oil",2703836.8,"8/21/2020 1:23:15 PM"
"10",75259,"4/1/2007 12:00:00 AM","Non-Conventional Oil",5463210.8,"8/21/2020 1:23:15 PM"
"11",75260,"4/1/2007 12:00:00 AM","Natural Gas",11494242300,"8/21/2020 1:23:15 PM"
"12",75261,"4/1/2007 12:00:00 AM","Conventional Oil",2567241.4,"8/21/2020 1:23:15 PM"
"13",75262,"5/1/2007 12:00:00 AM","Non-Conventional Oil",5460600.2,"8/21/2020 1:23:15 PM"
"14",75263,"5/1/2007 12:00:00 AM","Natural Gas",11691035100,"8/21/2020 1:23:15 PM"
"15",75264,"5/1/2007 12:00:00 AM","Conventional Oil",2614545.2,"8/21/2020 1:23:15 PM"
"16",75265,"6/1/2007 12:00:00 AM","Conventional Oil",2493203.4,"8/21/2020 1:23:15 PM"
"17",75266,"6/1/2007 12:00:00 AM","Non-Conventional Oil",5116667.3,"8/21/2020 1:23:15 PM"
"18",75267,"6/1/2007 12:00:00 AM","Natural Gas",10969959700,"8/21/2020 1:23:15 PM"
"19",75268,"7/1/2007 12:00:00 AM","Non-Conventional Oil",5897322.8,"8/21/2020 1:23:15 PM"
"20",75269,"7/1/2007 12:00:00 AM","Natural Gas",11288091400,"8/21/2020 1:23:15 PM"
"21",75270,"7/1/2007 12:00:00 AM","Conventional Oil",2587857.9,"8/21/2020 1:23:15 PM"
"22",75271,"8/1/2007 12:00:00 AM","Natural Gas",11454413900,"8/21/2020 1:23:15 PM"
"23",75272,"8/1/2007 12:00:00 AM","Conventional Oil",2625063.6,"8/21/2020 1:23:15 PM"
"24",75273,"8/1/2007 12:00:00 AM","Non-Conventional Oil",6563190.2,"8/21/2020 1:23:15 PM"
"25",75274,"9/1/2007 12:00:00 AM","Natural Gas",10837386100,"8/21/2020 1:23:15 PM"
"26",75275,"9/1/2007 12:00:00 AM","Conventional Oil",2542775.1,"8/21/2020 1:23:15 PM"
"27",75276,"9/1/2007 12:00:00 AM","Non-Conventional Oil",5958279.5,"8/21/2020 1:23:15 PM"
"28",75277,"10/1/2007 12:00:00 AM","Conventional Oil",2660162.3,"8/21/2020 1:23:15 PM"
"29",75278,"10/1/2007 12:00:00 AM","Natural Gas",11329483100,"8/21/2020 1:23:15 PM"
"30",75279,"10/1/2007 12:00:00 AM","Non-Conventional Oil",6261577.2,"8/21/2020 1:23:15 PM"
"31",75280,"11/1/2007 12:00:00 AM","Natural Gas",10838370800,"8/21/2020 1:23:15 PM"
"32",75281,"11/1/2007 12:00:00 AM","Non-Conventional Oil",5899203.4,"8/21/2020 1:23:15 PM"
"33",75282,"11/1/2007 12:00:00 AM","Conventional Oil",2582593.5,"8/21/2020 1:23:15 PM"
"34",75283,"12/1/2007 12:00:00 AM","Non-Conventional Oil",5368131.5,"8/21/2020 1:23:15 PM"
"35",75284,"12/1/2007 12:00:00 AM","Natural Gas",11183664700,"8/21/2020 1:23:15 PM"
"36",75285,"12/1/2007 12:00:00 AM","Conventional Oil",2653020.4,"8/21/2020 1:23:15 PM"
"37",75286,"1/1/2008 12:00:00 AM","Conventional Oil",2589269.4,"8/21/2020 1:23:15 PM"
"38",75287,"1/1/2008 12:00:00 AM","Natural Gas",10980935700,"8/21/2020 1:23:15 PM"
"39",75288,"1/1/2008 12:00:00 AM","Non-Conventional Oil",5891070,"8/21/2020 1:23:15 PM"
"40",75289,"2/1/2008 12:00:00 AM","Non-Conventional Oil",5334417.3,"8/21/2020 1:23:15 PM"
"41",75290,"2/1/2008 12:00:00 AM","Conventional Oil",2424163.9,"8/21/2020 1:23:15 PM"
"42",75291,"2/1/2008 12:00:00 AM","Natural Gas",10147513800,"8/21/2020 1:23:15 PM"
"43",75292,"3/1/2008 12:00:00 AM","Conventional Oil",2668296.6,"8/21/2020 1:23:15 PM"
"44",75293,"3/1/2008 12:00:00 AM","Natural Gas",11150199500,"8/21/2020 1:23:15 PM"
