"","Id","When","AgeGroup","Sex","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"1",491443,"1/1/1976 12:00:00 AM","15 to 24 years","Both sexes",8.1,14.2,12.3,10.8,16.3,18.1,14.3,10.9,18.2,14.4,7.6,"8/7/2020 8:39:04 AM"
"2",491444,"1/1/1976 12:00:00 AM","15 years and over","Both sexes",4.3,8.5,7.1,5.6,11.2,12.3,7.9,6.4,9.9,8.1,3.8,"8/7/2020 8:39:04 AM"
"3",491445,"2/1/1976 12:00:00 AM","15 to 24 years","Both sexes",6.8,13.7,12.2,7.1,16.9,18.6,13.8,10.7,20.3,15.4,8.5,"8/7/2020 8:39:04 AM"
"4",491446,"2/1/1976 12:00:00 AM","15 years and over","Both sexes",3.7,8.4,7,4.9,10.9,12.7,7.9,6.1,10.9,8.7,4.1,"8/7/2020 8:39:04 AM"
"5",491447,"3/1/1976 12:00:00 AM","15 to 24 years","Both sexes",7.9,14.3,11.9,6.7,15.4,19.5,14.1,11.1,12.9,13.6,7.3,"8/7/2020 8:39:04 AM"
"6",491448,"3/1/1976 12:00:00 AM","15 years and over","Both sexes",3.8,8.2,6.7,4.4,10.5,12.3,7.6,6,8.6,7.8,3.6,"8/7/2020 8:39:04 AM"
"7",491449,"4/1/1976 12:00:00 AM","15 to 24 years","Both sexes",6.3,15,11.9,7.7,15.5,20.3,14.8,10.3,14.4,14.9,6,"8/7/2020 8:39:04 AM"
"8",491450,"4/1/1976 12:00:00 AM","15 years and over","Both sexes",3.5,8.8,6.8,4,10.3,13.4,8.2,5.9,8.7,8.4,3.5,"8/7/2020 8:39:04 AM"
"9",491451,"5/1/1976 12:00:00 AM","15 to 24 years","Both sexes",7.4,16,12.1,7.3,16.8,18.6,16.4,10.5,13.5,14.4,6.4,"8/7/2020 8:39:04 AM"
"10",491452,"5/1/1976 12:00:00 AM","15 years and over","Both sexes",4.2,9,6.9,4.4,10.9,13.3,8.6,5.8,8.7,8.2,3.5,"8/7/2020 8:39:04 AM"
"11",491453,"6/1/1976 12:00:00 AM","15 to 24 years","Both sexes",7.2,15.1,12.2,8.2,17.3,19.8,17.1,10.5,15.6,14.9,6.9,"8/7/2020 8:39:04 AM"
"12",491454,"6/1/1976 12:00:00 AM","15 years and over","Both sexes",3.8,8.6,6.9,4.4,11,12.9,9.6,5.8,9.7,8.4,4,"8/7/2020 8:39:04 AM"
"13",491455,"7/1/1976 12:00:00 AM","15 to 24 years","Both sexes",6.7,15.6,13.2,9.8,16.1,21.3,18.3,11.9,18.2,16,8.1,"8/7/2020 8:39:04 AM"
"14",491456,"7/1/1976 12:00:00 AM","15 years and over","Both sexes",3.7,8.9,7.4,4.6,10.7,14.5,9.8,6.6,11.2,8.9,4.4,"8/7/2020 8:39:04 AM"
