"","Id","When","DataType","NAICS","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"1",42421,"1/1/1993 12:00:00 AM","Seasonally adjusted","Wholesale trade",1380853000,2070529000,16916924000,470245000,212658000,156355000,331785000,8151788000,22317000,3646562000,454249000,"8/19/2020 9:20:07 AM"
"2",42422,"2/1/1993 12:00:00 AM","Seasonally adjusted","Wholesale trade",1390189000,2107835000,16826720000,463827000,223054000,151758000,334207000,8074654000,30913000,3576479000,458014000,"8/19/2020 9:20:07 AM"
"3",42423,"3/1/1993 12:00:00 AM","Seasonally adjusted","Wholesale trade",1372203000,2141192000,16305593000,460853000,210248000,143038000,314744000,7537757000,27646000,3645861000,434636000,"8/19/2020 9:20:07 AM"
"4",42424,"4/1/1993 12:00:00 AM","Seasonally adjusted","Wholesale trade",1393970000,2154750000,16630940000,474414000,211376000,149877000,319196000,7784882000,26515000,3669444000,427338000,"8/19/2020 9:20:07 AM"
"5",42425,"5/1/1993 12:00:00 AM","Seasonally adjusted","Wholesale trade",1425189000,2128171000,16808164000,483551000,209724000,150382000,323653000,7904128000,25886000,3679147000,460022000,"8/19/2020 9:20:07 AM"
"6",42426,"6/1/1993 12:00:00 AM","Seasonally adjusted","Wholesale trade",1450352000,2080688000,16907614000,453802000,198127000,145879000,338111000,8026085000,23673000,3723901000,448741000,"8/19/2020 9:20:07 AM"
"7",42427,"7/1/1993 12:00:00 AM","Seasonally adjusted","Wholesale trade",1457102000,2151477000,17974875000,494569000,213624000,150594000,337142000,8737969000,24753000,3852943000,537559000,"8/19/2020 9:20:07 AM"
"8",42428,"8/1/1993 12:00:00 AM","Seasonally adjusted","Wholesale trade",1465183000,2184657000,17653900000,462171000,216215000,151751000,340501000,8426012000,25772000,3880358000,482062000,"8/19/2020 9:20:07 AM"
"9",42429,"9/1/1993 12:00:00 AM","Seasonally adjusted","Wholesale trade",1458697000,2281368000,17769222000,464522000,216191000,156114000,350984000,8363825000,25951000,3942253000,489040000,"8/19/2020 9:20:07 AM"
"10",42430,"10/1/1993 12:00:00 AM","Seasonally adjusted","Wholesale trade",1465849000,2418067000,18344272000,464676000,216563000,156377000,340719000,8746835000,28801000,3981429000,503413000,"8/19/2020 9:20:07 AM"
"11",42431,"11/1/1993 12:00:00 AM","Seasonally adjusted","Wholesale trade",1539664000,2346698000,18411341000,476411000,215917000,158023000,338108000,8768747000,29996000,3994649000,522510000,"8/19/2020 9:20:07 AM"
"12",42432,"12/1/1993 12:00:00 AM","Seasonally adjusted","Wholesale trade",1649326000,2376093000,18795376000,491652000,209545000,156807000,350098000,9093973000,30124000,3872157000,546461000,"8/19/2020 9:20:07 AM"
"13",42433,"1/1/1994 12:00:00 AM","Seasonally adjusted","Wholesale trade",1611137000,2334428000,18697329000,487142000,219765000,169922000,369438000,9059669000,31474000,3884656000,509540000,"8/19/2020 9:20:07 AM"
"14",42434,"2/1/1994 12:00:00 AM","Seasonally adjusted","Wholesale trade",1564139000,2325269000,18583230000,473570000,205132000,154608000,349769000,9137313000,32901000,3816139000,502772000,"8/19/2020 9:20:07 AM"
"15",42435,"3/1/1994 12:00:00 AM","Seasonally adjusted","Wholesale trade",1738789000,2319671000,19231102000,520842000,208801000,149770000,347576000,9496922000,30621000,3864037000,536874000,"8/19/2020 9:20:07 AM"
"16",42436,"4/1/1994 12:00:00 AM","Seasonally adjusted","Wholesale trade",1734556000,2350770000,19362812000,520111000,216225000,151321000,357710000,9503544000,32975000,3952246000,525728000,"8/19/2020 9:20:07 AM"
"17",42437,"5/1/1994 12:00:00 AM","Seasonally adjusted","Wholesale trade",1693184000,2383598000,19496068000,513193000,232138000,149886000,356425000,9649255000,29660000,3953125000,518068000,"8/19/2020 9:20:07 AM"
